AUTHOR,GENDER,RACE,DATE,TITLE,GENRE,PUBLISHER
Ronald FIrbank,male,white,1955,Santal,fiction,GROVE
Donald Keene,male,asian,1955,Anthology of Japanese Literature,fiction,GROVE
Samuel Beckett,male,white,1955,Three Novels,fiction,GROVE
Miguel De Unamuno,male,latinx,1956,Three Exemplary Novels,fiction,GROVE
Frank Norris,male,white,1956,The pit: a story of Chicago,fiction,GROVE
Samuel Beckett,male,white,1956,Malone dies: a novel,fiction,GROVE
Bertolt Brecht,male,white,1956,Threepenny novel,fiction,GROVE
Singh Khushwant,male,asian,1956,Mano Majra,fiction,GROVE
Singh Khushwant,male,asian ,1956,Train to Pakistan,fiction,GROVE
Ivan Sergeevich Turgenev,male,white,1956,Virgin Soil,fiction,GROVE
David Gascoyne,male,white,1956,Night Thoughts,fiction,GROVE
Berton Rouechí©,male,white,1956,The last enemy,fiction,GROVE
David Goodis,male,white,1956,Shoot the piano player,fiction,GROVE
Honorí© Balzac,male,white,1956,Droll Stories,fiction,GROVE
Khushwant Singh,male,asian,1956,Train to Pakistan,fiction,GROVE
Samuel Beckett,male,white,1957,Murphy,fiction,GROVE
Herman Melville,male,white,1957,Pierre,fiction,GROVE
Henry James,male,white,1957,A London Life,fiction,GROVE
Ni'an Shi,male,asian ,1957,All men are brothers ,fiction,GROVE
Henry James ,male,white,1957,The reverberator,fiction,GROVE
Fyodor Dostoyevsky,male,white,1957,The house of the dead ,fiction,GROVE
Seadiq Hideayat,male,white,1957,The Blind Owl,fiction,GROVE
Richard Lebherz,male,white,1957,The Altars of the heart,fiction,GROVE
Kaie Tsitele,na,na,1957,Ten Seconds from now,fiction,GROVE
S.J. Perelman,male,white,1957,The road to Miltown,fiction,GROVE
Samuel Beckett,male,white,1957,From an abandoned work,fiction,GROVE
Samuel Beckett,male,white,1957,Dante and the lobster,fiction,GROVE
Samuel Beckett,male,white,1958,The unnamable,fiction,GROVE
Jack Kerouac,male,white,1958,The subterraneans,fiction,GROVE
Alain Robbe-Grillet,male,white,1958,The voyeur,fiction,GROVE
Aleksey Tolstoy,male,white,1958,A week in Turenevo and other stories,fiction,GROVE
Charles Olson,male,white,1958,Call Me Ishmael,fiction,GROVE
Amos Tutuola,male,black,1958,The brave African huntress,fiction,GROVE
Andrí© Pieyre Mandiargues,male,white,1958,The girl beneath the lion,fiction,GROVE
Herman Melville,male,white,1958,Omoo; a narrative of adventures in South Seas,fiction,GROVE
William Faulkner,male,white,1958,New Orleans ,fiction,GROVE
Men-lung Feng,male,asian,1958,Stories from a. ,fiction,GROVE
Ch'eng-en Wu,male,asian,1958,Monkey,fiction,GROVE
Andrey Bely,male,white,1959,St. Petersburg,fiction,GROVE
Jack Kerouac,male,white,1959,Doctor Sax: Faust part three,fiction,GROVE
Juan Rulfo,male,latinx,1959,Pedro Píçramo,fiction,GROVE
A.F. Pisemskii,male,white,1959,One thousands souls,fiction,GROVE
Alain Robbe-Grillet,male,white,1959,Jealousy: a novel,fiction,GROVE
Frank Norris,male,white,1959,Vandover and the brute,fiction,GROVE
Singh Khushwant,male,asian,1959,I shall not hear the nightingale,fiction,GROVE
Marguerite Duras,female,white,1959,The square,fiction,GROVE
Douglas Woolf,male,white,1959,Fade Out,fiction,GROVE
William S Burroughs ,male,white,1959,Naked Lunch,fiction,GROVE
Philippe Sollers,male,white,1959,A strange solitude,fiction,GROVE
Aubrey Beardsley,male,white,1959,Under the hill,fiction,GROVE
E.T.A Hoffmann,male,white,1959,Tales of Hoffmann,fiction,GROVE
Henry James,male,white,1959,Watch and ward,fiction,GROVE
Samuel Beckett,male,white,1959,Texts for Nothing I,fiction,GROVE
Anthony C. West,male,white,1959,Swineherd,fiction,GROVE
Victor Perera,male,white,1959,Inocente,fiction,GROVE
Andrí© Breton,male,white,1960,Nadja,fiction,GROVE
H.D.,female,white,1960,"Bid me to live, a madrigal",fiction,GROVE
Dan Wakefield,male,white,1960,Revolt in the South,fiction,GROVE
Keller Gottfried,male,white,1960,Green Henry,fiction,GROVE
Alain Robbe-Grillet,male,whte,1960,In the labyrinth ,fiction,GROVE
Marguerite Duras,female,white,1960,Moderato cantabile,fiction,GROVE
Fyodor Dostoyevsky,male,white,1960,White nights: and other stories,fiction,GROVE
Alexander Trocchi,male,white,1960,Cain's Book,fiction,GROVE
Kaie Tsitele,male,white,1960,The way to Colonos; a greek triptych,fiction,GROVE
Jack Kerouac,male,white,1960,Lonesome traveler,fiction,GROVE
Jan Cremer,male,white,1960,"I, Jan Cremer",fiction,GROVE
Nikolai Gogol,male,white,1960,The diary of a madman: and other stories,fiction,GROVE
Aidan Higgins,male,white,1960,Killachter meadow,fiction,GROVE
Terry Southern,male,white,1960,The Magic Christian,fiction,GROVE
Robert Pinget,male,white,1961,Monsieur Levert: A novel,fiction,GROVE
Fernando Arrabal,male,latinx,1961,"Baal Babylon, a novel",fiction,GROVE
Khushwant Singh,male,asian,1961,Train to Pakistan,fiction,GROVE
Kazimierz Brandys,male,white,1961,Sons and comrades ,fiction,GROVE
Friedrich Dí_rrenmatt,male,white,1961,The quarry: a novel,fiction,GROVE
Albin Eiger,male,white,1961,Solitaries,fiction,GROVE
Philippe Sollers,male,white,1961,A strange solitude,fiction,GROVE
Robert Gover,male,white,1961,One Hundred dollar misunderstanding,fiction,GROVE
Alex Gordon,male,white,1961,The Cipher,fiction,GROVE
Marguerite Duras,female,white,1961,Ten-Thirty on a summer night,fiction,GROVE
William Faulkner,male,white,1961,New Orleans Sketches ,fiction,GROVE
John Williamson,male,white,1961,Aughatane,fiction,GROVE
Jorge Luis Borges,male,latinx,1961,Ficciones,fiction,GROVE
Ivo Andric,male,white,1962,Devil's yard,fiction,GROVE
Juan Hortelano Garcí_a,male,latinx,1962,Summer Storn,fiction,GROVE
Otto F Walter,male,white,1962,The mute,fiction,GROVE
Douglas Woolf,male,white,1962,Wall to Wall,fiction,GROVE
Thomas Firth Jones,male,white,1962,3X3,fiction,GROVE
Anthony Shafton,male,white,1962,The apostate Heriger,fiction,GROVE
Thomas Firth Jones,male,white,1962,4x4: Stairway to the sea,fiction,GROVE
Rolf Hennequel,male,white,1962,Three Aegyptian Stories,fiction,GROVE
Fyodor Dostoyevsky,male,white,1962,The insulted and the injured ,fiction,GROVE
Honorí© de Balzac,male,white,1962,Droll Stories,fiction,GROVE
Nolan MIller,male,white,1962,New Campus Writing no.4,fiction,GROVE
Samuel Beckett,male,white,1962,The expelled,fiction,GROVE
Amos Tutuola,male,black,1962,Father woman of the jungle,fiction,GROVE
Henry MIller,male,white,1962,Black Spring,fiction,GROVE
D.H. Lawrence,male,white,1962,Lady Chatterley's Lover,fiction,GROVE
Henry Miller,male,white,1963,Tropic of Capricorn,fiction,GROVE
Jean Genet,male,white,1963,Our Lady of the Flowers,fiction,GROVE
John Rechy,male,white,1963,City of night,fiction,GROVE
Uwe Johnson,male,white,1963,Speculations about Jakob,fiction,GROVE
Slawomir Mrozek,male,white,1963,The elephant,fiction,GROVE
Yu Li,male,asian,1963,Jou pu tuan: the prayer mat of flesh,fiction,GROVE
Fyodor Abramov,male,white,1963,The new life: a day on a collective farm,fiction,GROVE
Robert Grover,male,white,1963,The maniac responsible,fiction,GROVE
Dacia Maraini,female,white,1963,The age of malaise,fiction,GROVE
Daniel Wolf,male,white,1963,The village voice reader: a mixed bag from the Greenwich Village newspaper,fiction,GROVE
Vladimir Maksimov,male,white,1963,A Man survives,fiction,GROVE
Amiri Baraka,male,afam,1963,The baptism & the toilet,fiction,GROVE
Samuel Beckett,male,white,1964,How it is ,fiction,GROVE
Alain Robbe-Grillet,male,white,1964,The erasers ,fiction,GROVE
Hubert Selby Jr,male,white,1964,Last exit to Brooklyn,fiction,GROVE
William S Burroughs,male,white,1964,Nova Express,fiction,GROVE
Jorge Semprí_n,male,white,1964,The long voyage,fiction,GROVE
Driss ben Hamed Charhadi,male,white,1964,A life full of holes,fiction,GROVE
Robert Gover,male,white,1964,Here goes Kitten,fiction,GROVE
Joe Orton,male,white,1964,Entertaining Mr Sloane: a comedy,fiction,GROVE
Patricia Highsmith,female,white,1964,The two faces of January,fiction,GROVE
Jakov Lind,male,white,1964,Soul of wood: and other stories,fiction,GROVE
"Jerzy Grotowski, Toby Robertson, John Russell Brown","male, male, male","white, white, white",1964,Tulane drama review: Marlowe issue,fiction,GROVE
 Terry Southern,male,white,1964,Candy,fiction,GROVE
William S Burroughs,male,white,1964,They just fade away,fiction,GROVE
Cyril Birch,male,white,1965,Anthology of Chinese Literature,fiction,GROVE
Samuel Beckett,male,white,1965,Three Novels,fiction,GROVE
Amiri Baraka,male,afam,1965,The system on Dante's Hell,fiction,GROVE
Alain Robbe-Grillet,male,white,1965,Two novels,fiction,GROVE
Donald Allen,male,white,1965,New American story,fiction,GROVE
Mack Thomas,male,white,1965,Gumbo,fiction,GROVE
Stephen Schneck,male,white,1965,The nightclek: being his perfectly true confession,fiction,GROVE
Maurice Girodias,male,white,1965,The Olympia reader: selection from the Traveller's companion series,fiction,GROVE
Andrí© de Pieyre de Mandiargues,male,white,1965,The motorcycle,fiction,GROVE
Henry MIller,male,white,1965,Quiet days in Clichy,fiction,GROVE
Pauline Rí©age,female,white,1965,Story of O,fiction,GROVE
Henry Miller,male,white,1965,The world of sex,fiction,GROVE
Anthony Heckstall-Smith,male,white,1965,The consort: a romantic fantasy,fiction,GROVE
Henry Miller,male,white,1965,Plexus,fiction,GROVE
Jean Harlow,female,white,1965,"Today is tonight, a novel",fiction,GROVE
Líæszlí_ Ní©meth,male,white,1965,Revulsion: a novel,fiction,GROVE
John Arden,male,white,1965,Left-handed liberty: a play about Magna Carta,fiction,GROVE
J.P Donleavy,male,white,1965,The ginger man,fiction,GROVE
Jean Genet,male,white,1965,Miracle of the rose,fiction,GROVE
Mirra Ginsburg,female,white,1965,"Fatal Eggs, and other Soviet Satire",fiction,GROVE
Samuel Beckett,male,white,1965,How It Is,fiction,GROVE
Hubert Selby,male,white,1965,Last Exit to Brooklyn,fiction,GROVE
Marguerite Duras,female,white,1966,"Four Novels  The Square, Moderato Cantabile, 10:30 on a Summer Night, The Afternoon of Mr. Andesmas",fiction,GROVE
Jack Kerouac,male,white,1966,Satori in Paris and Pic,fiction,GROVE
Jakov Lind,male,white,1966,Landscape in concrete,fiction,GROVE
Alain Robbe-Grillet,male,white,1966,La Maison de rendez-vous,fiction,GROVE
Witold Gombrowicz,male,white,1966,Pornografia,fiction,GROVE
Lars Gí_rling ,male,white,1966,491; a novel,fiction,GROVE
Aidan Higgins,male,white,1966,"Langrishe, go down; a novel",fiction,GROVE
Maguerite Duras,female,white,1966,the ravishing of lol stein,fiction,GROVE
Jean de Berg,female,white,1966,The image,fiction,GROVE
Jean-Claude Forest,male,white,1966,Barbarella,fiction,GROVE
Michael Rumaker,male,white,1966,Gringos and other stories,fiction,GROVE
Robert Pinget,male,white,1966,The inquisitory,fiction,GROVE
Andrí© Hodeir,male,white,1966,Warwick's 3 bottles,fiction,GROVE
Patrick Boyle,male,white,1966,LIke any other man,fiction,GROVE
Jacqueline Susann,female,white,1966,Valley of Dolls,fiction,GROVE
Marguerite Duras,female,white,1966,The sailor from Gibraltar,fiction,GROVE
Patrick Boyle,male,white,1966,At night all cats are grey: and other stories,fiction,GROVE
Fereidoun Forberg,male,white,1966,Identity Card: a novel,fiction,GROVE
Samuel Beckett,male,white,1967,Stories & Texts or Nothing,fiction,GROVE
Amiri Baraka,male,afam,1967,Tales,fiction,GROVE
Barbara Garson,male,white,1967,MacBird,fiction,GROVE
William S Burroughs,male,white,1967,The ticket that exploded ,fiction,GROVE
Floyd Salas,male,latinx,1967,Tattoo the wicked cross,fiction,GROVE
Albertine Sarrazin,female,white,1967,The runaway,fiction,GROVE
Witold Gombrowicz,male,white,1967,Ferdyduke,fiction,GROVE
Albertine Sarrazin,male,white,1967,Astragal,fiction,GROVE
Witold Gombrowicz,male,white,1967,Cosmos,fiction,GROVE
John Rechy,male,latinx,1967,Numbers,fiction,GROVE
Juan Goytisolo,male,latinx,1967,"The party's over, four attempts to define a love story",fiction,GROVE
Aubrey Beardsley,female,white,1967,"Under the hill, or The story of Venus and Tannhí_user",fiction,GROVE
Leif Panduro,male,white,1967,One of our millionaries is missing,fiction,GROVE
John Noone,male,white,1967,"The man with the chocolate egg, a novel",fiction,GROVE
James Webster Sherwood,male,white,1967,Stradella,fiction,GROVE
The Grove Press,na,na,1967,"Harriet Marwood, governess",fiction,GROVE
Bine Strange Petersen,male,white,1967,Anything goes,fiction,GROVE
"John M, Schwarz",male,white,1967,Oh you wretch! Harry Miles,fiction,GROVE
Lillian Colonis,female,na,1967,Here comes the fireboat,fiction,GROVE
Lucille Mulcahy,female,white,1967,Fire on Big Lonesome,fiction,GROVE
Munroe Howard ,male,white,1967,Call me Brick,fiction,GROVE
Marion Carrie Crichton,female,white,1967,Gus the bus,fiction,GROVE
Katoumbah Pasha,female,white,1967,Memoirs of a Russian princess: gleaned from her secret diary,fiction,GROVE
Guy Peellaert,male,white,1967,The adventures of Jodelle,fiction,GROVE
Mikhail Bulgakov,male,white,1967,The Master and Margarita,fiction,GROVE
Anon,na,na,1967,Sadopaideia,fiction,GROVE
Robert H Rimmer,male,white,1967,The Harrad experiment,fiction,GROVE
Andrí© Hodeir,male,white,1967,Cleopatra goes sledding ,fiction,GROVE
Barney Rosset,male,white,1968,"Evergreen review reader, 1957-1967, a ten year anthology",fiction,GROVE
Kenzaburo Oe,male,asian,1968,A personal matter,fiction,GROVE
Alain Robbe-Grillet,male,white,1968,Snapshots,fiction,GROVE
Bohumil Hrabal,male,white,1968,Closely watched trains ,fiction,GROVE
Andy Warhol,male,white,1968,A; a novel,fiction,GROVE
Roland Dubillard,male,white,1968,Naí¿ves hirondelles,fiction,GROVE
Mikhail Bulgakov,male,white,1968,Heart of a dog,fiction,GROVE
Marquis de Sade,male,white,1968,Juliette,fiction,GROVE
Pier Paolo Pasolini,male,white,1968,The ragazzi,fiction,GROVE
Jean Louis Bergonzo,na,na,1968,The Spanis Inn,fiction,GROVE
Georges Perec,male,white,1968,Les choses; a story of the sixties,fiction,GROVE
Boris Vian,male,white,1968,Mood Indigo,fiction,GROVE
Blaise Cendrars,male,white,1968,To the end of the world,fiction,GROVE
Marguerite Duras,female,white,1968,L'amante anglaise,fiction,GROVE
Regis Debray,male,white,1968,The border & A young man in the know,fiction,GROVE
Alain Robbe-Grillet,male,white,1968,The erasers,fiction,GROVE
H.C Andersen,male,white,1968,Great Clause and Little Claus,fiction,GROVE
Eric Berne,male,white,1968,The Happy Valley,fiction,GROVE
Herbert Kastle,male,white,1968,The movie maker,fiction,GROVE
Janine Brí©gon,male,white,1968,A useless maker,fiction,GROVE
Robert Kyle,male,white,1968,"Venus examined, a physiological novel",fiction,GROVE
George Revelli,male,white,1968,Commander Amanda Nightingale,fiction,GROVE
Jameson Twiggs,male,white,1968,Billy and Betty: a novel,fiction,GROVE
Jacky S,na,na,1968,"Suburban souls, the erotic psychology of a man and a maid",fiction,GROVE
Wilhelm Matthiessen,male,white,1968,Folk Tales,fiction,GROVE
Susan Bond,female,white,1968,"Eric, the tale of a red-tempered Viking ",fiction,GROVE
Kenneth Davids,male,white,1968,The softness on the other side of the hole,fiction,GROVE
Michael O'Donoghue,male,white,1968,The adventures of Phoebe Zeit-Geist,fiction,GROVE
"""author of Dolly Morton""",na,na,1968,"""Frank"" and I",fiction,GROVE
Sam Raymond Sebby,male,white,1968,Three dragons,fiction,GROVE
Eric Thacker,male,white,1968,Musrum,fiction,GROVE
Claude Roy,male,white,1968,The very obliging flowers,fiction,GROVE
Jac Lenders,male,white,1968,An excess of love,fiction,GROVE
Edward Sellon,male,white,1968,The Romance of Lust,fiction,GROVE
Mirra Ginsburg,female,writer,1968,The Fatal Eggs and Other Soviet Satires,fiction,GROVE
Samuel Beckett,male,white,1968,Stories and Texts for Nothing,fiction,GROVE
Cyril Birch,male,white,1968,Stories from a Ming Collection,fiction,GROVE
Jorge Borges,male,latinx,1969,Ficciones,fiction,GROVE
Jean Genet,male,white,1969,Funeral Rites,fiction,GROVE
Juan Goytisolo,male,latinx,1969,Marks of Identity ,fiction,GROVE
Andrí© Pieyre de Mandiargues,male,white,1969,The Margin,fiction,GROVE
Enver Carmin,na,na,1969,The golden city,fiction,GROVE
Julian Mitchell,male,white,1969,The undiscovered country,fiction,GROVE
Pierre Klossowski,male,white,1969,Roberte ce soir and the revocation of the edict of Nantes,fiction,GROVE
Ed Radlauer,male,white,1969,Karting Challenge,fiction,GROVE
Kenneth Tindall,male,white,1969,Great Heads,fiction,GROVE
Armand Coppens,male,na,1969,The memoirs of an erotic bookseller,fiction,GROVE
Juan Rulfo,male,latinx,1969,Pedro Píçramo,fiction,GROVE
Floyd Salas,male,latinx,1969,What now my love ,fiction,GROVE
Jan Cremer,male,white,1969,Jan Cremer writes again,fiction,GROVE
Robert Hunter,male,white,1969,Erebus,fiction,GROVE
Richard Horn,male,white,1969,Encyclopedia,fiction,GROVE
Simon Watson Taylor,male,white,1969,French writing today,fiction,GROVE
Russ Madison,male,white,1969,"Victory among the insane, a novel",fiction,GROVE
Edward Sellon,male,white,1969,"The new epicurean & the adventures of a school-boy, two tales from the Victorian underground",fiction,GROVE
Sandrine Forge, na,na,1969,Lily: the diary of a French girl in New York,fiction,GROVE
Raymond Radiguet,male,white,1969,Count d'Orgel,fiction,GROVE
Pierre LouíËs,male,white,1969,Mother's three daughters,fiction,GROVE
Samuel May,male,white,1969,The loves of a musical student,fiction,GROVE
Grove Press ,na,na,1969,"Miss high-heels, the story of a rich but girlish young gentleman under the control of his pretty step-sister and her aunt",fiction,GROVE
Albert de Routisie,male,white,1969,Irene,fiction,GROVE
Grove Press ,na,na,1969,The power of mesmerism and Laura Middleton; two novels from the Victorian underground ,fiction,GROVE
Jens BjíŸrneboe,male,white,1969,Without a stitch,fiction,GROVE
Mike T Walker ,male,white,1969,Voices from the bottom of the world; a policeman's journal ,fiction,GROVE
Grove Press ,na,na,1969,Pleasure bound: diverse tales from Edwardian underground,fiction,GROVE
Tiffany Boots,female,white,1969,Five Men,fiction,GROVE
Copi ,male,latinx,1969,Chickens don't have chairs ,fiction,GROVE
Don Luis de V*****,male,na,1969,La Tarantual; an erotic tale of Spain,fiction,GROVE
Grove Press ,male,white,1969,Love 1& 2 erotic tales from Sweden and Denmark,fiction,GROVE
A Cantab,na,na,1969,Two flappers in Paris,fiction,GROVE
Tomi Ungerer,male,white,1969,Fornicon,fiction,GROVE
Paul Perret,male,white,1969,Tableaux vivants: fifteen erotic tales,fiction,GROVE
Donald Keene,male,white,1969,"Anthology of Japanese Literature, from the earliest era to the mid-nineteenth century",fiction,GROVE
P.N Dedeaux,male,white,1969,The prefect,fiction,GROVE
Guillaume Apollinare,male,white,1969,Memoirs of a young rakehell and the debauched hospador: two novels,fiction,GROVE
Grove Press ,na,na,1969,The altar of Venus: wherein a late member of the House of Lords has given the true history of his erotic life,fiction,GROVE
John Rechy,male,white,1969,This day's death,fiction,GROVE
William S Burroughs,male,white,1969,The wild boys: a book of the dead,fiction,GROVE
Samuel Beckett,male,white,1970,More pricks than kicks,fiction,GROVE
Samuel Beckett,male,white,1970,Murphy,fiction,GROVE
Jack Kerouac,male,white,1970,Lonesome traveler,fiction,GROVE
Josef Skvorecky,male,white,1970,The cowards,fiction,GROVE
Marguerite Duras,female,white,1970,"Destroy, she said ",fiction,GROVE
Amos Tutuola,male,black,1970,My life in the Bush of Ghosts,fiction,GROVE
Yukio Mishima,male,asian,1970,Sun& Steel,fiction,GROVE
Ed Sanders,male,white,1970,Shards of God ,fiction,GROVE
Julius Lester,male,afam,1970,Black Folktales,fiction,GROVE
Witold Gombrowicz,male,whie,1970,Cosmos and Pornografia,fiction,GROVE
Marguerite Duras,female,white,1970,"Destroy, She Said",fiction,GROVE
Jack Kerouac,male,white,1970,Dr. Sax Faust Part Three,fiction,GROVE
Alain Robbe-Grillet,male,white,1970,The Erasers,fiction,GROVE
Jean Genet,male,white,1970,Funeral Rites,fiction,GROVE
Mikhail Bulgakov,male,white,1970,Heart of a Dog,fiction,GROVE
Alain Robbe-Grillet,male,white,1970,La Maison de Rendez-Vous and Djinn,fiction,GROVE
Jack Kerouac,male,white,1970,Lonesome Traveler,fiction,GROVE
Mikhail Bulgakov,male,white,1970,The Master and Margarita,fiction,GROVE
Matthew Lewis,male,white,1970,The Monk,fiction,GROVE
Kenzaburo Oe,male,asian,1970,A Personal Matter,fiction,GROVE
Henry Miller,male,white,1970,Plexus,fiction,GROVE
Henry Miller,male,white,1970,Quiet Days in Clichy,fiction,GROVE
Jack Kerouac,male,white,1970,The Subterraneans,fiction,GROVE
Henry Miller,male,white,1971,Black Spring,fiction,GROVE
Marquis de Sade,male,white,1971,Juliette,fiction,GROVE
Marquis de Sade,male,white,1971,"Justine, Philosphy in the Bedroom, and Other Writings",fiction,GROVE
Jean Genet,male,white,1971,Miracle of the Rose,fiction,GROVE
Donald Keene,male,white,1971,Modern Japanese Literature  From 1868 to the Present Day,fiction,GROVE
Andre Breton,male,white,1971,Nadja,fiction,GROVE
Henry Miller,male,white,1971,Nexus,fiction,GROVE
Henry Miller,male,white,1971,Sexus,fiction,GROVE
Jean Genet,male,white,1971,The Thief's Journal,fiction,GROVE
Miguel de Unamuno,male,latinx,1971,Three Exemplary Novels,fiction,GROVE
Henry Miller,male,white,1971,Tropic of Cancer,fiction,GROVE
Hubert Selby,male,white,1971,The room,fiction,GROVE
íælvarez de toledo,male,latinx,1971,The strike,fiction,GROVE
John Rechy,male,white,1971,The vampires,fiction,GROVE
Jack Kerouac,male,white,1971,Pic: a novel,fiction,GROVE
Pauline Rí©age,female,white,1971,Return to the chí¢teau. preceded by a girl in love ,fiction,GROVE
Emmanuelle Arsan,female,asian,1971,Emmanuelle,fiction,GROVE
George Revelli,male,white,1971,"Resort to war, a novel",fiction,GROVE
Albertine Sarrazin,female,white,1971,Astragal,fiction,GROVE
Warren Dearden,male,white,1971,A Free Country,fiction,GROVE
Albertine Sarrazin,female,white,1971,The runaway,fiction,GROVE
Grove Press ,na,na,1971,"The Boudoir: a magazine of scandal, facetie",fiction,GROVE
Pierre Klossowski,male,white,1971,Roberte ce soir and the revocation of the Edict of Nantes,fiction,GROVE
Viscount Ladywood,na,na,1971,Gynecocracy: a narraitve of the adventures and psychological experiences of Julian Robinson,fiction,GROVE
Fukwell,na,na,1971,Green Girls,fiction,GROVE
Stephanie Gatos,female,na,1971,Posh,fiction,GROVE
Yoram Kaniuk,male,white,1971,Adam Resurrected,fiction,GROVE
Roger Charlton,male,white,1971,The bitch witch,fiction,GROVE
Lord Drialys,na,na,1971,The beautiful flagellants of New York,fiction,GROVE
Grove Press ,na,na,1971,Experiences of a country girl,fiction,GROVE
Grove Press ,na,na,1971,The Memoirs of a voluptuary the secret life of an English boarding-school,fiction,GROVE
Soliman Peters,male,na,1971,Business as usual,fiction,GROVE
Jean de Villiot,male,white,1971,Whipped Women,fiction,GROVE
Grove Press ,na,na,1971,"Forbideen fruit; luscious and exciting story, and More forbidden fruit",fiction,GROVE
Grove Press ,na,na,1971,Lustful memoirs of a young and passionate girl& How we lost our maidenheads & Realistic pleasures,fiction,GROVE
Grove Press ,na,na,1971,The Pleasures of cruelty,fiction,GROVE
Bertil Fredrik Schí_tt,male,white,1971,The love lottery,fiction,GROVE
Grove Press ,na,na,1971,An Oxford thesis on love,fiction,GROVE
Alan MacClyde,male,white,1971,The Calamities of Jane,fiction,GROVE
P,na,na,1971,Swedish Passions,fiction,GROVE
Grove Press ,na,na,1971,Midnight intimacies; being the secret life of a warm blooded woman in search of passionate pleasures,fiction,GROVE
A gentleman,male,na,1971,Mona: a tale of birch and bed,fiction,GROVE
Collin Wilcox,male,white,1971,The disapperance,fiction,GROVE
Jean Vandorrí©,male,white,1971,The abasement,fiction,GROVE
Floyd Salas,male,white,1971,What now my love,fiction,GROVE
Mark Sadler,male,white,1971,The falling man,fiction,GROVE
David Rottenberg,male,white,1971,For me and my friends,fiction,GROVE
A.C. McWhortle,female,white,1971,Lena,fiction,GROVE
P.N Dedeaux,na,na,1971,"The tutor, being reminiscences of Thomasina Wragg",fiction,GROVE
Jem Docteur,na,na,1971,Wide Open,fiction,GROVE
John Barclett,male,white,1971,The Captive,fiction,GROVE
Samuel J Warner,male,white,1971,Self-Realization and self-defeat,fiction,GROVE
Samuel Beckett,male,white,1972,The lost ones,fiction,GROVE
Alain Robbe-Grillet,male,white,1972,"Project for a revolution in New York, a novel",fiction,GROVE
J.G. Ballard,male,white,1972,Love and napalm: export in the USA,fiction,GROVE
William Bloom,male,white,1972,A game for children,fiction,GROVE
Edward Seaman,male,white,1972,The producer,fiction,GROVE
Barry Hannah,male,white,1972,Geronimo Rex,fiction,GROVE
Marcus Van Heller,male,white,1972,Cruel lips,fiction,GROVE
Lon Beam,na,na,1972,The she-slaves of Cinta Vincente,fiction,GROVE
Cyril Birch,male,white,1972,Anthology of Chinese Literature Vol. 2,fiction,GROVE
Samuel Beckett,male,white,1972,More Pricks Than Kicks,fiction,GROVE
Jorge Semprun,male,latinx,1973,The second death of Ramon Mercader,fiction,GROVE
David Danzinger,male,white,1973,David Danziger's novel of The Devil in MIss Jones,fiction,GROVE
D Carson,male,white,1973,Lament: a novel,fiction,GROVE
John Denis,male,white,1973,Palace of Venus,fiction,GROVE
Andrey Bely,male,white,1974,The silver dove,fiction,GROVE
