BOOK_ID,TITLE,AUTHOR,AUTHOR_ID,PUBLISHER,YEAR,#LIBRARIES,ABSTRACT,YEAR_CLEAN,GENRE,GENRE2,NOTES,HATHI_ID
rh_89,The Town,"Faulkner, William",1109,Random House,1957,2533,"This is the second volume of Faulkner's trilogy about the Snopes family, his symbol for the grasping, destructive element in the post-bellum South. The story of Flem Snopes' ruthless struggle to take over the town of Jefferson, Mississippi, the book is rich in typically Faulknerian episodes of humor and of profundity.",1957,LIT,,,
rh_223,Atlas Shrugged,"Rand, Ayn",2976,Random House,1957,1758,"This is the story of a man who said that he would stop the motor of the world, and did. Is he a destroyer or a liberator? Why does he have to fight his battle not against his enemies but against those who need him most? Why does he fight his hardest battle against the woman he loves? The answers to these questions become clear when the reason behind the baffling events that play havoc with the lives of the amazing men and women in this remarkable book is uncovered . Tremendous in scope, breathtaking in its suspense, ""Atlas shrugged"" is Ayn Rand's magnum opus, and a premier moral apologia for Capitalism.",1957,SCI,,,
rh_301,Madame Bovary,"Flaubert, Gustave",1154,Random House,1957,1487,A 19th-century woman pursues her romantic dreams through a series of lovers.,1957,LIT,ROM,,
rh_422,Last Tales,"Dinesen, Isak",922,Random House,1957,1116,Twelve tales in which fantasy and reality are harmoniously intermingled. Their effect is hypnotic; they are evocations that enchant the reader and give him a long after-enjoyment of unforgettable stories told with unfailing sensibility and controlled artistry.,1957,LIT,,,
rh_965,The Black Stallion Mystery,"Farley, Walter",1102,Random House,1957,600,Alec and his horse go overseas to search for the Black's sire.,1957,YA,,sport,
rh_1155,"Tip On A Dead Jockey,","Shaw, Irwin",3274,Random House,1957,530,"For contents, see Author Catalog.",1957,DET,,,
rh_1292,The Ox-Bow Incident,"Clark, Walter Van Tilburg",677,Random House,1957,498,"Set in 1885, The Ox-Bow Incident is a searing and realistic portrait of frontier life and mob violence in the American West that focuses on the lynching of three innocent men and the tragedy that ensues when law and order are abandoned.",1957,WEST,,,
rh_1549,"Cass Timberlane,","Lewis, Sinclair",2213,Random House,1957,407,"Intense story of the marriage of Judge Timberlane and his very young wife, among others.",1957,ROM,,,
rh_1736,"Tippecanoe And Tyler, Too!","Young, Stanley",4004,Random House,1957,371,"Fictionalized biography of William Henry Harrison, the hero of the Battle of Tippecanoe and the ninth president of the United States.",1957,HIST,,,
rh_2155,Peter Pan,"Barrie, J M",202,Random House,1957,273,"The adventures of Peter Pan, the boy who would not grow up.",1957,YA,FAN,,
rh_2426,The Trumpet Shall Sound,"Tomlinson, H M",3655,Random House,1957,225,Ordeal of the Gale family during the blitz of Britain.,1957,LIT,,,
rh_2896,The Witches,"Williams, Jay",3899,Random House,1957,164,,1957,YA,FAN,,
rh_2915,An Air That Kills,"Millar, Margaret",2551,Random House,1957,160,"At a crisis in his second marriage, Ron Galloway dropped out of sight. Having said good-bye to his wife and sons in Toronto, he started out for his hunting lodge, where he had invited some friends to spend the weekend with him. When Ron failed to appear, two of his friends, Ralph Turee and Harry Bream, took it upon themselves to investigate his disappearance. Even before his body was found, they discovered that Ron had been leading a double life ... --",1957,DET,,,
rh_3093,Bon Voyage!,"Hayes, Marrijane",1609,Random House,1957,144,,1957,LIT,,,
rh_3163,Another Man'S Murder,"Eberhart, Mignon Good",1010,Random House,1957,134,,1957,DET,,,
rh_3168,The Undefeated,"Wylie, I A R",3986,Random House,1957,134,,1957,LIT,,,
rh_3558,The Snake That Went To School,"Moore, Lilian",2609,Random House,1957,99,Stuey's chemistry experiments always backfire.,1957,YA,,,
rh_3687,Adventures In Time And Space,"Healy, Raymond J",1621,Random House,1957,93,,1957,SCI,FAN,,
rh_4363,The Goblins Of Eros,"Eyster, Warren",1089,Random House,1957,56,,1957,LIT,,,
rh_6484,"Found, One Orange-Brown Horse","Lauber, Patricia",2139,Random House,1957,15,,1957,YA,,,
rh_1715,"The New England Story,","Hough, Henry Beetle",1746,Random House,1958,382,,1958,HIST,LIT,,
rh_2420,Swear By Apollo,"Barker, Shirley",188,Random House,1958,228,,1958,HIST,ROM,,
rh_2623,The Cup Of Strength,"Paul, Charlotte",2830,Random House,1958,195,,1958,WEST,HIST,,
rh_2773,Chingo Smith Of The Erie Canal,"Adams, Samuel Hopkins",22,Random House,1958,178,"During the early 1800s, a waif in upstate New York makes his way from odd-jobs boy in an inn to captain of a canal boat.",1958,HIST,,,
rh_2856,"Red Queen, White Queen","Treece, Henry",3667,Random House,1958,170,,1958,HIST,,,
rh_3031,Reckoning At Yankee Flat,"Henry, Will",1647,Random House,1958,153,,1958,HIST,,,
rh_3149,The Man Who Disappeared,"Bohle, Edgar",354,Random House,1958,136,,1958,DET,,,
rh_3160,The Hours After Midnight,"Hayes, Joseph",1608,Random House,1958,142,,1958,DET,,,
rh_3401,The Horse-Tamer,"Farley, Walter",1102,Random House,1958,113,"A late eighteenth-century carriage maker turns professional horse-tamer, and deals with many vicious or badly trained horses, and one unscrupulous showman.",1958,YA,HIST,,
rh_3499,Three Great Tales,"Conrad, Joseph",733,Random House,1958,106,,1958,LIT,,,
rh_3733,The House In Ruins,"Weekley, Robert S",3809,Random House,1958,90,,1958,LIT,HIST,,
rh_3897,Pax,"Kiefer, Middleton",2000,Random House,1958,80,,1958,LIT,,,
rh_3961,The Selfish And The Strong,"Schuster, Richard",3223,Random House,1958,76,,1958,HIST,,,
rh_4212,Rosemary'S Secret,"Eberle, Irmengarde",1011,Random House,1958,64,Rosemary's secret wish comes true after great-great-uncle amos finds hidden treasure in his old house.,1958,DET,,,
