,volume_id,title,year,page,sentence,keyword,Ontopic?1=no,P=positveN=negative[empty]=neutral/other-ForONTOPIConly,context,v_sent_score,tb_sent_score,siebert_sent_score,bertweet_sent_score,v_sent,tb_sent,siebert_sent,bertweet_sent
18,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,77,6,Frontier,,,"Realizing that frontier settlers might accept peaceful and sober Indians as neighbors, he jailed against violence and alcoholism.",-0.3612,0.175,0.9960753321647644,0.8845702409744263,Negative,Neutral,POSITIVE,NEU
19,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,123,3,Frontier,,,"As one historian has noted, the Sioux died at Wounded Knee at the end of the same year in which the superintendent of the census announced the closure of the frontier.34 Thus, Wovoka, his religion, and Wounded Knee have become a metaphor for a nation in transition from the wilderness to a modern industrial state.35 Transition was equally an appropriate element of Wovokas life, especially during that period after Wounded Knee.",-0.5574,0.175,0.9977124929428101,0.9498924016952515,Negative,Neutral,POSITIVE,NEU
20,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,22,7,Frontier,,,"The spectacular aspect of the conflict, which featured feathered war bonnets, slashing cavalry swords, and the flaming frontier, was simply missing, and without these dramatic and traditional symbols of Indian warfare, people thought that the Indians had been tamed.",-0.8934,-0.008333333333333331,0.9927778840065002,-0.5803906321525574,Negative,Neutral,POSITIVE,NEG
21,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,34,1,Frontier,,,"Bootlegging spirits to the reservations was one of the remaining popular crimes in the frontier West, which was fading fast from its rough beginnings.",0.4215,0.23333333333333336,-0.9887595176696777,-0.9500033855438232,Positive,Neutral,NEGATIVE,NEG
22,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,109,3,Frontier,,,"Europe's interest in the New World during the next hundred and fifty years can be classified in three categories: 1) areas where the local products were easily extractable and had an immediate market in Europe; 2) forced labor where the local economics could be reorganized, usually through the institution of slavery, to procure the product for the world market; and 3) the transplantation of Europe into America, a phenomenon that existed in two forms in conjunction with the exploitative concept and as new frontiers were transformed into European-style homes.",-0.5267,-0.015993265993265997,0.9933487772941589,0.9328009486198425,Negative,Neutral,POSITIVE,NEU
23,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,109,4,Frontier,,,It is with the emerging frontier philosophy that the real question of Indian title arose.,0.0,0.2,0.9906169772148132,0.9523180723190308,Neutral,Neutral,POSITIVE,NEU
24,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,138,5,Frontier,,,The federal policy was to contain their western frontier by getting the tribes to view the United States as a benevolent union which they might someday join.,0.8271,0.0,0.9886433482170105,0.8408598899841309,Positive,Neutral,POSITIVE,NEU
25,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,142,2,Frontier,,,"The Shawnees, Miamis, Wyandottes, and Potawatomi began an offensive against the frontier settlements, and as the war progressed the Chippewas and some Sioux entered the fight on the British side.",-0.8591,0.0,0.989568293094635,0.9576836824417114,Negative,Neutral,POSITIVE,NEU
26,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,142,5,Frontier,,,"But if the war is understood in its frontier aspect, the continuing hostilities between the United States and the tribes of the old Northwest from 1783 to the War of 1812, the war itself must be understood as the final spasm of Indian efforts to play Great Britain off against the United States in order to preserve their own political independence.",-0.7227,0.3,0.9850854277610779,0.9550297856330872,Negative,Neutral,POSITIVE,NEU
27,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,143,7,Frontier,,American frontier,"The British realized that without a strong Indian state interposed between the advancing American frontier and the Canadian border, the activities of their traders would be severely if not permanently compromised.",-0.691,0.14444444444444443,-0.980414628982544,0.8610350489616394,Negative,Neutral,NEGATIVE,NEU
28,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,206,12,Frontier,,unsettled frontier,In the Oklahoma Territory the Indian lands were surrounded by whites who wished to get the last piece of unsettled frontier under cultivation.,-0.3182,0.0,0.9793230295181274,0.9639761447906494,Negative,Neutral,POSITIVE,NEU
29,mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,1974.0,236,8,Frontier,,,For several years the frontier blazed with incidents as the tribes of the Northern Plains sought revenge for the slain Cheyennes.,-0.5267,0.0,0.9899582266807556,-0.879125714302063,Negative,Neutral,POSITIVE,NEG
30,mdp.39015003692970,Indians of the Pacific Northwest /,1977.0,94,2,Frontier,,,"The mixture of church and state was regarded as proper for those frontier conditions, but it resulted quite often in the banishment of Indian religious ceremonies as part of the educational program.",0.0,0.08333333333333333,-0.9977973699569702,0.7059265971183777,Neutral,Neutral,NEGATIVE,NEU
31,mdp.39015003916361,Indian man; a life of Oliver La Farge.,1971.0,89,8,Frontier,,,"The nation of Walker's time was still raw, the frontier had not yet been brought under control, and Indians, along with grizzly bears, coyotes, rattlesnakes, and mountain lions, were part of the wild fauna, their fierceness magnified by the frontiersmen's boast71",0.0,-0.06538461538461539,0.995880126953125,0.8826603293418884,Neutral,Neutral,POSITIVE,NEU
32,mdp.39015003942995,Indians and other Americans; two ways of life meet.,1959.0,80,7,Frontier,,,"In the short space of a lifetime the Sioux, notorious in frontier history as buffalo hunters and warriors, achieved a remarkable transition.",0.1779,0.375,0.9988006353378296,0.7465398907661438,Neutral,Positive,POSITIVE,POS
33,mdp.39015003942995,Indians and other Americans; two ways of life meet.,1959.0,96,6,Frontier,,,"The War of 1812 had long ago ended the threat of alliances between European powers and Indian tribes; and thereafter, as Jackson had protested for his frontier society, treaties became an “absurdity.”",-0.8316,-0.025,-0.9936882853507996,-0.7463939189910889,Negative,Neutral,NEGATIVE,NEG
34,mdp.39015004169382,Guide to research on North American Indians /,1983.0,36,29,Frontier,,,"In addition to village locations, the Atlas covers such topics as natural vegetation, subsistence patterns, distribution of late prehistoric cultures, transportation routes, epidemics, land cession treaties, reservations, trade and missionary activity, Pontiac's War, the War of 1812, Black Hawk's War, the frontier in transition, and changes in European sovereignty.",-0.8807,-0.07333333333333333,0.9988176226615906,0.9686245322227478,Negative,Neutral,POSITIVE,NEU
35,mdp.39015004169382,Guide to research on North American Indians /,1983.0,37,58,Frontier,,Indian frontier,"He explains how the great variety of Indian place-names in Kansas re CALIFORNIA sulted from attempts to create a permanent Indian frontier in the West where Indians from the East KNIFFEN, FRED B. Pomo Geography.",0.7351,0.8,0.9982234835624695,0.9671598672866821,Positive,Positive,POSITIVE,NEU
36,mdp.39015004169382,Guide to research on North American Indians /,1983.0,56,41,Frontier,,,This memoir by an important figure in the frontier army who had a career as an Indian fighter and Indian diplomat contains observations about the tribes with which he came in contact.,0.34,0.4,0.9988320469856262,0.8915935754776001,Positive,Positive,POSITIVE,NEU
37,mdp.39015004169382,Guide to research on North American Indians /,1983.0,88,12,Frontier,,frontier whites,"They specified the geographic boundaries separating ""Indian country” from white settlements and sought to restrain lawless frontier whites who were hostile to Indians and hampered enforcement of federal laws.",-0.3818,0.0,0.9966345429420471,0.645373523235321,Negative,Neutral,POSITIVE,NEU
38,mdp.39015004169382,Guide to research on North American Indians /,1983.0,89,13,Frontier,,,"The federal government became concerned with educating Indian tribes who lived near frontier settlements and in 1819 Congress passed the Civilization Fund Act to employ ""capable” persons willing to teach Indians ""the habits and arts of civilization” which meant agriculture for the adults and white language arts and mathematics for the children.",0.0,0.1375,0.9930219054222107,0.8125793933868408,Neutral,Neutral,POSITIVE,NEU
39,mdp.39015004169382,Guide to research on North American Indians /,1983.0,91,1,Frontier,,Indian frontier,Several studies discuss the break-up of the “permanent” Indian frontier due to the rapid emigration of non-Indians into the newly acquired territories.,0.0,0.0037878787878787845,0.9916041493415833,0.6643120646476746,Neutral,Neutral,POSITIVE,NEU
40,mdp.39015004169382,Guide to research on North American Indians /,1983.0,103,37,Frontier,,American frontier,He considers a series of trade and intercourse acts that were passed to regulate the American frontier advance in the North and South.,0.0,0.0,0.9974430799484253,0.9748708009719849,Neutral,Neutral,POSITIVE,NEU
41,mdp.39015004169382,Guide to research on North American Indians /,1983.0,108,41,Frontier,,,"He considers the hostility of frontier people who tried to hamper enforcement of federal laws, describes briefly colonial and imperial Indian policies, and those of the Continental Congress and the early years of the Constitution.",-0.5423,0.05,0.9981973767280579,0.738506555557251,Negative,Neutral,POSITIVE,NEU
42,mdp.39015004169382,Guide to research on North American Indians /,1983.0,108,42,Frontier,,,"He discusses the passage of the Trade and Intercourse Acts of 1790, 1793, 1796, 1799, and 1802 which became the basic law governing Indian relations and which also sought to restrain lawless frontier whites from violating treaties made with Indians until these acts were replaced by a new codification of Indian policy in 1834.",-0.5423,0.06818181818181818,0.9977617263793945,0.9676856994628906,Negative,Neutral,POSITIVE,NEU
43,mdp.39015004169382,Guide to research on North American Indians /,1983.0,111,37,Frontier,,,"The third part, ""Illusions,” concerns Indian-white frontier violence, the antithesis of civilization according to Jeffersonians, which precluded the Indians' chance to attain civilization; the Indians' personal and tribal disintegration as a result of the ""civilizing” program, which brought stress and anxiety to tribal order; and war, European diseases, and alcohol.",-0.8885,0.0,0.9975687861442566,-0.9359275102615356,Negative,Neutral,POSITIVE,NEG
44,mdp.39015004169382,Guide to research on North American Indians /,1983.0,127,2,Frontier,,Indian frontier,The crown found it too difficult to enforce uniform policies and regulations on the Indian frontier.,-0.3612,-0.5,-0.9985734224319458,-0.8208048343658447,Negative,Negative,NEGATIVE,NEG
45,mdp.39015004169382,Guide to research on North American Indians /,1983.0,129,11,Frontier,,,Unscrupulous English and French traders along the northeastern colonial frontier profited by swindling Indians out of furs and large areas of land by using unprincipled tactics.,-0.1779,0.07142857142857142,-0.991575300693512,-0.9526757597923279,Neutral,Neutral,NEGATIVE,NEG
46,mdp.39015004169382,Guide to research on North American Indians /,1983.0,134,16,Frontier,,,Utley (p. 156) examines the relations between the regular and volunteer frontiersmen and Indians from 1848 to 1891.,0.0,0.0,0.9985963702201843,0.977927565574646,Neutral,Neutral,POSITIVE,NEU
47,mdp.39015004169382,Guide to research on North American Indians /,1983.0,134,17,Frontier,,,He argues that the frontier army was neither the vanguard of civilization nor a barbaric band of butchers but rather a conventional military force trying to control unconventional enemies with conventional military organization and methods.,-0.7269,-0.12142857142857141,0.9976087808609009,0.9054735898971558,Negative,Neutral,POSITIVE,NEU
48,mdp.39015004169382,Guide to research on North American Indians /,1983.0,148,3,Frontier,,American frontier,"He describes major battles in which the Iroquois were involved, Iroquois raids against white people along the American frontier, and the British and American abandonment of the Iroquois in treaty negotiations at the end of the Revolution.",-0.7425,0.0125,0.9983667731285095,0.5824204087257385,Negative,Neutral,POSITIVE,NEU
49,mdp.39015004169382,Guide to research on North American Indians /,1983.0,150,0,Frontier,,,important issue in controlling the Indians during the last phases of struggle for empire and how the Cherokee proved to be an important English ally on the Ohio frontier during the French-Indian attacks.,-0.3818,0.2,0.9980396628379822,0.9577850699424744,Negative,Neutral,POSITIVE,NEU
50,mdp.39015004588672,They came here first; the epic of the American Indian /,1975.0,153,14,Frontier,,,"He had three proposals in mind: (1) To permit the Indians to sell their lands within settled areas (the Iroquois, for example, in New York, and the Cherokees, Creeks, and other tribes in the south) directly to the crown, thus eliminating fraudulent deals; (2) to survey a boundary line between the settlements and the areas used by the Indians, excluding from the Indian lands the upper Ohio Valley and allowing settlement in this region; and (3) to relieve the pressure on the Appalachian frontier by encouraging",0.128,-0.12772727272727274,0.9940900206565857,0.9594965577125549,Neutral,Neutral,POSITIVE,NEU
51,mdp.39015004588672,They came here first; the epic of the American Indian /,1975.0,161,12,Frontier,,,"The complaint reflected conditions among the Iroquois, but it reflected equally well conditions all along the frontier.",0.2617,-0.15,0.9987200498580933,0.8774904608726501,Neutral,Neutral,POSITIVE,NEU
52,mdp.39015004588672,They came here first; the epic of the American Indian /,1975.0,173,1,Frontier,,,"He also disagreed with the opinion then prevalent in Congress, that the United States, by winning the war with Great Britain, had thereby become absolute owner of the soil.1 In reporting to President Washington on May 23, 1789, Knox found that serious trouble was rapidly building up on the western frontier.",0.2732,0.16111111111111112,0.9962014555931091,-0.5235815048217773,Neutral,Neutral,POSITIVE,NEG
53,mdp.39015004588672,They came here first; the epic of the American Indian /,1975.0,196,5,Frontier,,,"Her methods were cynical, though no worse than the methods followed elsewhere on the frontier.",-0.0119,-0.19999999999999998,-0.9895054697990417,-0.9016300439834595,Neutral,Neutral,NEGATIVE,NEG
54,mdp.39015004588672,They came here first; the epic of the American Indian /,1975.0,218,24,Frontier,,,It seemed as if at any moment a general uprising would sweep the entire length of the frontier.,0.0,0.02500000000000001,-0.9920297861099243,-0.6810540556907654,Neutral,Neutral,NEGATIVE,NEG
55,mdp.39015004717719,Shadows of the buffalo : a family odyssey among the Indians /,1983.0,262,3,Frontier,,,Some were sourdough prospectors and hardy frontier trappers who never saw other people for seasons at a time.,0.4019,-0.125,0.9837180972099304,0.9349901080131531,Positive,Neutral,POSITIVE,NEU
56,mdp.39015004813815,"Tsali,",1972.0,13,11,Frontier,,,"Yet, the frontier wars were between two groups of Americans, the one red and the more American ... and the other white and the more European.",-0.5574,0.125,0.9926395416259766,0.8626428246498108,Negative,Neutral,POSITIVE,NEU
57,mdp.39015004813815,"Tsali,",1972.0,39,12,Frontier,,,Little Will disliked being maneuvered into a position where he appeared to be defending the outrages of crude frontiersmen.,-0.8563,-0.3625,-0.999355137348175,-0.8236843943595886,Negative,Negative,NEGATIVE,NEG
58,mdp.39015004813815,"Tsali,",1972.0,59,5,Frontier,,,"Instead, the dwelling had become a duplicate of the Unega frontier log house, with a broad fireplace and a mud-dabbed log chimney.",0.0258,0.0625,-0.9994756579399109,0.9596258997917175,Neutral,Neutral,NEGATIVE,NEU
59,mdp.39015004813815,"Tsali,",1972.0,60,4,Frontier,,,"Although these weapons were the legal property of the Indians, the frontier white riffraff set up a loud clamor to have the rifles distributed among them for their ""protection.""",-0.34,0.10000000000000002,-0.9678645730018616,0.6154646873474121,Negative,Neutral,NEGATIVE,NEU
60,mdp.39015004813815,"Tsali,",1972.0,92,17,Frontier,,,"This lesson was diligently preached along the frontier, where inferior European peasants heaped every imaginable abuse and humiliation on the native Indians.",-0.891,0.0,0.992743730545044,-0.9417614340782166,Negative,Neutral,POSITIVE,NEG
61,mdp.39015004960731,The Pueblo Indians /,1976.0,69,4,Frontier,,,"There was no further interest in exploring the northern frontier, and the natives were left undisturbed for the next forty years.",-0.569,0.0,-0.9967209696769714,-0.7329061031341553,Negative,Neutral,NEGATIVE,NEG
62,mdp.39015004960731,The Pueblo Indians /,1976.0,71,2,Frontier,,,"Espejo reported favorably upon conditions in the northern frontier, and petitioned for a contract to lead a colony of settlers into the Pueblo country.",0.3818,0.0,0.9984115362167358,0.7669947147369385,Positive,Neutral,POSITIVE,NEU
63,mdp.39015004960731,The Pueblo Indians /,1976.0,174,6,Frontier,,,Sotero's fourth grade education did not prepare him for life in frontier Anglo New Mexico.,0.0,0.06818181818181818,-0.9984355568885803,-0.8637504577636719,Neutral,Neutral,NEGATIVE,NEG
64,mdp.39015005472520,"Native Americans and Nixon : presidential politics and minority self-determination, 1969-1972 /",1981.0,16,10,Frontier,quotes,,"In 1970 and 1971, the American Indian Press Association Director, Richard LaCourse, former BIA officials such as Leon Cook and William Veeder, and Indian government leaders such as Peter MacDonald (Navajo) and Benny Atencio, | Chairman of the All Indian Pueblo Council of New Mexico, pointed out that the federal government, in collusion with energy corporations, was intent upon taking Indian natural resources, particularly energy resources, and that Indian land was the “last frontier” of exploitation in the United States.",0.8313,0.05037878787878788,0.9931522607803345,0.9377875328063965,Positive,Neutral,POSITIVE,NEU
65,mdp.39015005472520,"Native Americans and Nixon : presidential politics and minority self-determination, 1969-1972 /",1981.0,47,15,Frontier,,,"The Indian resource base is the last frontier of industrial exploitation.26 La Course saw, much earlier than most people, that the exploitation of Indian coal, oil, gas, et cetera, was a controlling issue.",0.0,-0.07500000000000001,0.9976907968521118,0.6399809718132019,Neutral,Neutral,POSITIVE,NEU
66,mdp.39015005686178,Complete poems,,27,0,Frontier,,,"ble expansion of the frontier, reaching outward for self-containment, was a metaphor in which the concept of the free individual -and",0.6249,0.2,-0.9484745860099792,0.8614537119865417,Positive,Neutral,NEGATIVE,NEU
67,mdp.39015005910354,New perspectives on the Pueblos.,1972.0,73,0,Frontier,,,"The eastern frontier pueblos—Taos, Pecos, Picuris, and Gran Quivira -actively traded with Plains Apaches (Hodge, Hammond and Rey 1945:66; 1953:400) who sometimes spent the winter near some of these pueblos (Schroeder and Matson 1965:124,128; Hammond and Rey 1 1940:258,261), providing the base for the trade fairs that developed at Taos and Pecos during the 1600s.",0.3182,-0.16666666666666669,0.997077465057373,0.9728537797927856,Positive,Neutral,POSITIVE,NEU
68,mdp.39015005910354,New perspectives on the Pueblos.,1972.0,83,14,Frontier,,,"CULTURAL ADJUSTMENT (16961821) When the Spaniards returned in 1693, the settlers struggled to reestablish their frontier economy; and the Pueblos necessarily faced the need to reorder those social, ceremonial, and economic systems",-0.34,0.07666666666666667,0.9947675466537476,0.8118402361869812,Negative,Neutral,POSITIVE,NEU
69,mdp.39015005910354,New perspectives on the Pueblos.,1972.0,86,2,Frontier,,,"By 1739, French traders found their way through the Comanche via the Eastern Pueblo frontier into New Mexico (Thomas 1940:15).",0.0,0.06818181818181818,0.9922907948493958,0.9750187397003174,Neutral,Neutral,POSITIVE,NEU
70,mdp.39015005910354,New perspectives on the Pueblos.,1972.0,86,9,Frontier,,,"During the middle 1700s the Spaniards began setting up settlements of genízaros, captured or ransomed Indians mostly from the Plains, to act as buffers on the frontiers.",0.0,0.25,0.9877158999443054,0.9268466234207153,Neutral,Neutral,POSITIVE,NEU
71,mdp.39015005910354,New perspectives on the Pueblos.,1972.0,91,9,Frontier,,,This marked the final collapse of the Eastern Pueblo frontier east of the mountains.,-0.4939,0.05,-0.9938538074493408,-0.899864137172699,Negative,Neutral,NEGATIVE,NEG
72,mdp.39015005910354,New perspectives on the Pueblos.,1972.0,92,13,Frontier,,,"Did the Rio Grande pueblos survive as ethnic units because their organization and activities had enough in common with frontier Spanish culture so that they could retain much of their identity with only a minimum of acceptance of western European ideas by applying different meanings through substitution, alteration, and/or non-acceptance?",0.4588,-0.012499999999999997,0.9879641532897949,0.9479659795761108,Positive,Neutral,POSITIVE,NEU
73,mdp.39015005910354,New perspectives on the Pueblos.,1972.0,92,14,Frontier,,,Or did their culture survive because continuing support for Spanish frontier 68,0.4019,0.0,0.9955968260765076,0.8827481269836426,Positive,Neutral,POSITIVE,NEU
74,mdp.39015007016788,The nations within : the past and future of American Indian sovereignty /,1984.0,15,8,Frontier,,,"Pressures on the frontier for free lands, the extension of slavery into land unsuitable for cotton production, the aggressive gold rushes, the need for a suitable water law on western lands, and the authorization and construction of railroads—all these activities were hampered by and influenced by the role of the federal government toward Indians.",-0.6597,0.3166666666666667,0.9862239360809326,-0.582163393497467,Negative,Neutral,POSITIVE,NEG
75,mdp.39015007016788,The nations within : the past and future of American Indian sovereignty /,1984.0,33,12,Frontier,,,"During the American Revolution, when frontier conflicts between the Americans and the Creek, who were pro-British, escalated, a significant change was introduced into the political organization of the Creeks.",-0.2023,0.125,0.9936397671699524,0.9325931072235107,Neutral,Neutral,POSITIVE,NEU
76,mdp.39015007016788,The nations within : the past and future of American Indian sovereignty /,1984.0,33,15,Frontier,,Creek frontiers,"Prolonged conflict with the Americans, intrusions by the Spanish into Creek territory, and the intrigues of the British kept the Creeks in turmoil, and the number of war chiefs was significantly expanded to meet the continuing threats on the Creek frontiers.",-0.8519,0.125,0.9895775318145752,0.7441196441650391,Negative,Neutral,POSITIVE,NEU
77,mdp.39015008666599,"The sacred; ways of knowledge, sources of life /",1977.0,197,12,Frontier,,,"Suddenly, in the 1850's, California became the new frontier for colonizing settlers.",0.0,0.06818181818181818,0.9906349778175354,0.8494700193405151,Neutral,Neutral,POSITIVE,NEU
78,mdp.39015008666599,"The sacred; ways of knowledge, sources of life /",1977.0,263,9,Frontier,,,"When the Plains became the last frontier of White society, it was the turn of the Plains Indians to suffer the fate which previously had overtaken the aborigines in other regions.",-0.5423,-0.07291666666666666,-0.9909064769744873,0.6132059097290039,Negative,Neutral,NEGATIVE,NEU
79,mdp.39015009172720,A Sender of words : essays in memory of John G. Neihardt /,1984.0,17,6,Frontier,,,"Born in 1881 in Sharpsburg, Illinois, at a time when the frontier was still beckoning to adventurers, Neihardt moved with his mother and brothers and sisters, his father having deserted the family, to Wayne, Nebraska, where his uncle had settled on a farm.",0.2263,0.0,0.9970600008964539,0.9537091255187988,Neutral,Neutral,POSITIVE,NEU
80,mdp.39015009172720,A Sender of words : essays in memory of John G. Neihardt /,1984.0,56,14,Frontier,,,The epic poem really did not fit our nation or our wild frontier.,-0.3343,0.05000000000000001,-0.999453604221344,-0.958552896976471,Negative,Neutral,NEGATIVE,NEG
81,mdp.39015009172720,A Sender of words : essays in memory of John G. Neihardt /,1984.0,60,18,Frontier,,,"He was the first white writer living west of the Mississippi to celebrate our frontier, to make epics of our American experience.",0.5719,0.08333333333333333,0.9986912608146667,0.8107168674468994,Positive,Neutral,POSITIVE,POS
