volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = no,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,before_sentence,after_sentence
uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,35,16,extinct,,,language,"Tº dred, and their languages, with the exception of the Narragansett, are nearly extinct.","The Mo. hawks, were the most formidable of their adversaries, * and so great was the terror which they excited in the less warlike tribes of New England, that the appearance of four or five Mohawks in the woods, would often frighten them from their habitations, and drive them to seek shelter in their forts, for safety. *The Indians east of the Connecticut River never were, s. Indian, however, actually subjugated by the Five Nations; and cº. in 1671 a permanent peace was established between them, through the interference of the English, and the Dutch at Albany. ""After the termination of King Philip's sºme ºurct war,” in 1676, which resulted in the defeat of the hostile fº.ºf Indians, most of the survivors either joined the eastern a see p. 19. tribes, or sought refuge in Canada, whence they continued to harass the frontiers of New England, until the final overthrow of the French, in 1763."" ""Since that b. see p.ºsa. period, the eastern Indians have remained friendly, but ""fºr their numbers are said to amount now to only a few hun.","Tº dred, and their languages, with the exception of the Narragansett, are nearly extinct.  For the purpose of giving some farther information about the New England tribes, we subjoin a brief notice of several of their principal chiefs. The first chief with whom the people of Plymouth became acquainted, was Massasoir, grand Saehem of the Wampanoags, whose principal residence was at Pokanoket, now Bristol, Rhode Island. It appears that, at one time, before he was known to the whites, Massasoit carried on successful wars “against many nations of Indians” whom he rado tributary to him; and yet, with such kind paternal authority did he rule over them, that all appeared to 4"
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,543,20,extinct,1,,,Burial of Pawnee child attempted before life was extinct.....,"139 for all departments of work at Carlisle training school .... 189 for agency use at Umatilla Agencs dilapidated and uninhabitable 152 for police and guard house needed at Nevada Agency.... 131 at Ponca Agency ample for all purposes and in good condition.. school, number of, erected and needed..... XXXIII new, required at Mescalero Agency if Mescalero Apaches are not removed. VII (See Agency Buildings and Houses.)","Burial of Pawnee child attempted before life was extinct..... .... 91 62 0.5 93 .... 85 34 C. Caddoes, statistics in regard to .. 278, 294 Calispels, statistics in regard to.... 286, 304 Calapooias, statistics in regard to..... .. 284, 302 Calmes, W. T., superintendent of school on Kiowa, &c., Reservation, annual report of........ Carrier, Arthur J., act providing for payment of amount due... 229 Carlisle training school, report of Lieutenant R. H. Pratt, United States Army, in charge... 184 prejudice of Rosebud Indians against, owing to deaths of children ... 53 graduates from, standing of, on return to their people .............192, 193, 194 report of committee making first annual examination, held June 16, '81.. 186 statistics in regard to ...... 288 (See Training Schools.) Carmichael, Donald, act providing for payment of his claims against Kiowas and Comanches... 229 Cascade Indians, statistics in regard to...................................... 284, 302 Casler, Benjamin G., New York Agency, New York, annual report of..... 141 Catholic Church has charge of missionary work on Devil's Lake Reservation, Dakota........"
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,553,22,extinct,1,,,"Nez Percés, deficiency in appropriation for ....... located at Oakland, Indian Territory, a brave, intelligent, and religious people.... 94 of Indian Territory, unless something is done for, will soon become extinct ......","A Statistics in regard progress in civilizatide port of Charles Wii Nana, as chief of remnant of Victoria's band, commits depredations........ VII Navajo Agency, New Mexico, annual report of Agent Galen Eastman .. 137 need of Indian police at, to prevent liquor traffic. XX Navajoes, deficiency in appropriation for... XV quiet and peaceable, notwithstanding intrigues and military interference. 137 statistics in regard to ..... 282, 302 Neah Bay Agency, Washington Territory, annual report of Charles Willoughby.. 161 Nesqually Indians make slow progress in civilization, and why ............ 166 statistics in regard to ................................. 286, 304 Nevada Agency, Nevada, annual report of Joseph M. McMaster.... 130 New York Agency, Indians of, prosperous and self-supporting......... 142 New York, annual report of Benjamin G. Casler.... 141 State, provision made by, for Indian schools ..... .... XXXII Newspapers, extensive circulation of, among Indians of Yakama Ageney 176 Neztuceas, statistics in regard to .......... .284, 302, 304 Nez Perce Agency, Idaho, annual report of Charles D. Warner...","Nez Percés, deficiency in appropriation for ....... located at Oakland, Indian Territory, a brave, intelligent, and religious people.... 94 of Indian Territory, unless something is done for, will soon become extinct ...... 94 statistics in regard to.................... ...............276, 278, 294, 296 Nickerson, Linus M., Klamath Agency, Oregon, annual report of... 143 Nock-a-de-Klenny, medicine man, killed by soldiers... Northern Arapahoes at Shoshone Agency, Wyoming, labor under disadvantages, and why..... 183 Northern Pacific Railway through Crow Reservation, Montana, special United States commis. sioners to arrange for right of way..... .....XXVIII, 114 Nultonatnas, statistics in regard to ... ... 284, 304 65 XV TX 0."
uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,82,10,extinct,,,race,"*::::::::::: 1. 'º. the deserted remains that have been cºariº, described, and others of a similar character—the work of £º a people apparently long extinct, were the only evidence of a former civilization within the limits of the United States; yet a far different spectacle was presented on entering the regions farther south, where, instead of the buried relics of a former greatness, its living reality was found.","But the names and the history of these people we shall probably never with certainty learn. Curtained by the hand of time, which has left no written records, if any ever existed, their all but a few earth-embosomed relics have passed :/º: into oblivion. ""At the period of the first discovery of the sº continent, not only had this unknown but numerous peoºiled ple passed away from their ancient dwelling places, but ages must have elapsed since their “altars and their fires” were deserted; for over all the monuments which alone perpetuate the knowledge of their existence, the forest had already extended its shades, and NATURE had triumphantly resumed her empire, cheating the wondering European with the belief that her solitudes had never before been broken but by the wild beasts that roamed here, or the stealthy footsteps of the rude Indian. SECTION II. ANTIQUITIES FOUND IN OTHER PORTIONS OF THE CONTINENT.","*::::::::::: 1. 'º. the deserted remains that have been cºariº, described, and others of a similar character—the work of £º a people apparently long extinct, were the only evidence of a former civilization within the limits of the United States; yet a far different spectacle was presented on entering the regions farther south, where, instead of the buried relics of a former greatness, its living reality was found. ºricºnd 2. “When the Spanish invaders landed on the coast of Peru at the #:### Mexico and in Peru, they found there, instead of feeble pºsiº’ wandering tribes, as at the north, populous and powerful dards. agricultural nations, with regular forms of government, established systems of law and religion, immense cities, magnificent edifices and temples, extensive roads,” aqueducts, and other public works; all showing a high degree of advancement in many of the arts; and rivalling, in * “At the time when the Spaniards entered Peru, no kingdom in Europe could boast of *}."
inu.30000005072511,"The Sun Dance people; the Plains Indians, their past and present.",1972,18,9,extinct,,1,animal,"Some fifteen thousand years ago he stalked and killed animals now long extinct —the mammoth, the woolly rhinoceros, the wild camel.","Their golden age—the happy years of riding, raiding, and chasing buffalo-lasted only a few lifetimes. Throughout history human development has followed a wellestablished path. Early man in America, as elsewhere was a roaming hunter. He had no permanent home. Every day he covered many miles in search of game to provide his family with food.","Some fifteen thousand years ago he stalked and killed animals now long extinct —the mammoth, the woolly rhinoceros, the wild camel. In the ashes of his cooking fires have been found the fossilized bones of these creatures. A beautifully worked, Auted stone arrowhead, a so-called Folsom point, has been found stuck in the bone of an ice-age bison. The weapons of these early hunters were made of chipped and Alaked stone, because the Indians did not know of iron before the 8"
inu.30000005072511,"The Sun Dance people; the Plains Indians, their past and present.",1972,38,0,extinct,,1,animal," At the end of the nineteenth century, the buffalo was almost extinct.",," At the end of the nineteenth century, the buffalo was almost extinct. It was saved by the wisdom and concern of a small handful of men. Now the herds are growing again in most of our western national parks. The hide had many uses. Sixteen to twenty skins sewn together made a large tepee."
uc1.31210001247749,Annual report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution.,1880,256,1,extinct,,,race,"The Watlala, a tribe of the Upper Tsinúk, whose burial place is here described, are now nearly extinct; but a number of the sepulchers still remain in different states of preservation.",Another depository of this kind upon an island in the river a few miles above gave it the name of Sepulcher Island.,"The Watlala, a tribe of the Upper Tsinúk, whose burial place is here described, are now nearly extinct; but a number of the sepulchers still remain in different states of preservation. The position of the body, as noticed by Clarke, is, I believe, of universal observance, the head being always placed to the west. The reason assigned to me is that the road to the mé-mel-ūs-illa-hee, the country of the dead, is toward the west, and if they place them otherwise they would be confused. East of the Cascade Mountains the tribes whose habits are equestrian, and who use canoes only for ferriage or transportation purposes, bury their dead, usually heaping over them piles of stones, either to mark the spot or to prevent the bodies from being exhumed by the prairie wolf. Among the Yakamas we saw many of their graves placed in conspicuous points of the basaltic walls which line the lower valleys, and designated by a clump of poles planted over them, from which fluttered various articles of dress."
inu.30000008754222,Ohio archaeologist.,1992,39,1,extinct,,1,animal,"They have asked, in all candor, how much longer these losses can continue before the elephant, like so many other species, is finally driven to the point of extinction?","THE ELK AND THE INDIAN IN THE OHIO COUNTRY by Phillip R. Shriver Miami University Environmentalists have been agonizing over the terrible — and mounting — losses of African elephants at the hands of poachers, each greedily eager to help supply the ivory markets of the world with the animals' tusks.","They have asked, in all candor, how much longer these losses can continue before the elephant, like so many other species, is finally driven to the point of extinction? Pictures of the carcasses of these great animals, stripped only of their tusks, rotting in the hot African sun, have stirred the conscience of us all. Early in this century an American president, Theodore Roosevelt, distressed over the wanton slaughter of the North American elk that had been going on for generations, asked his countrymen to stop using the upper canine teeth or ""tusks"" of these great animals as ornaments on watch fobs and tie tacks lest the elk too be driven to the point of extinction. (See Potter, 1982: 543-544.) Pictures of the carcasses of these magnificent animals, stripped only of their ""tusks,"" rotting in the hot American sun, stirred the conscience of a nation and finally helped create a network of national parks for their protection."
inu.30000008754222,Ohio archaeologist.,1992,39,3,extinct,,1,animal,"Early in this century an American president, Theodore Roosevelt, distressed over the wanton slaughter of the North American elk that had been going on for generations, asked his countrymen to stop using the upper canine teeth or ""tusks"" of these great animals as ornaments on watch fobs and tie tacks lest the elk too be driven to the point of extinction.","THE ELK AND THE INDIAN IN THE OHIO COUNTRY by Phillip R. Shriver Miami University Environmentalists have been agonizing over the terrible — and mounting — losses of African elephants at the hands of poachers, each greedily eager to help supply the ivory markets of the world with the animals' tusks. They have asked, in all candor, how much longer these losses can continue before the elephant, like so many other species, is finally driven to the point of extinction? Pictures of the carcasses of these great animals, stripped only of their tusks, rotting in the hot African sun, have stirred the conscience of us all.","Early in this century an American president, Theodore Roosevelt, distressed over the wanton slaughter of the North American elk that had been going on for generations, asked his countrymen to stop using the upper canine teeth or ""tusks"" of these great animals as ornaments on watch fobs and tie tacks lest the elk too be driven to the point of extinction. (See Potter, 1982: 543-544.) Pictures of the carcasses of these magnificent animals, stripped only of their ""tusks,"" rotting in the hot American sun, stirred the conscience of a nation and finally helped create a network of national parks for their protection. (See Figures 1 and 2.) At one time the American elk, or wapiti, ""were more widespread than any other single deer species in North America...."
inu.30000008754222,Ohio archaeologist.,1992,39,13,extinct,,1,animal,"The slaughter of the American elk, including the total extinction of the Eastern elk and the Merriam elk and the near extinction of three of the four remaining sub-species, constitutes one of the sorriest chapters in our history.","[Prior to the Columbian voyages in the 1490s] there may have been 10,000,000 elk on the continent."" (See McCabe, 1982: 65.) Hunted and killed for their meat, their hides, their antlers, and finally their teeth, the number of elk by 1900 was fewer than 100,000. (See Bryant and Maser, 1982: 1; Whitehead, 1972: 40. See also Figure 3.)","The slaughter of the American elk, including the total extinction of the Eastern elk and the Merriam elk and the near extinction of three of the four remaining sub-species, constitutes one of the sorriest chapters in our history. Here in Ohio the last of our great Eastern elk (one of the two sub-species to become extinct in the nation in the nineteenth century) was shot and killed in Ashtabula County in October 1838. (See Kirtland, 1838: 177; Bryant and Maser, 1982: 52.) A remnant band of Eastern elk was hunted down and destroyed in Michigan in the late 1870s. (See Bryant and Maser, 1982: 45.)"
inu.30000008754222,Ohio archaeologist.,1992,39,14,extinct,,1,animal,Here in Ohio the last of our great Eastern elk (one of the two sub-species to become extinct in the nation in the nineteenth century) was shot and killed in Ashtabula County in October 1838.,"(See McCabe, 1982: 65.) Hunted and killed for their meat, their hides, their antlers, and finally their teeth, the number of elk by 1900 was fewer than 100,000. (See Bryant and Maser, 1982: 1; Whitehead, 1972: 40. See also Figure 3.) The slaughter of the American elk, including the total extinction of the Eastern elk and the Merriam elk and the near extinction of three of the four remaining sub-species, constitutes one of the sorriest chapters in our history.","Here in Ohio the last of our great Eastern elk (one of the two sub-species to become extinct in the nation in the nineteenth century) was shot and killed in Ashtabula County in October 1838. (See Kirtland, 1838: 177; Bryant and Maser, 1982: 52.) A remnant band of Eastern elk was hunted down and destroyed in Michigan in the late 1870s. (See Bryant and Maser, 1982: 45.) The last known Eastern elk in Pennsylvania was killed in November 1867, at the headwaters of the Clarion River, ironically in what is still called Elk County."
inu.30000008754222,Ohio archaeologist.,1992,55,27,extinct,,1,animal,"By 1848, after the state had established a bounty for wolf scalps in response to the demands of sheep growers, it was reported that wolves had finally become virtually extinct in Ohio.","Hutchins has written (1979:10) that ""timber wolves were so abundant and well distributed when Ohio was being settled that at least 28 streams have been named for them. Ohio has one 'Wolf Ditch,' 15 'Wolf Creeks,' and 12 'Wolf Runs.' Norton S. Townshend, [who later became] first professor of agriculture, botany, and veterinary science at The Ohio State University, wrote about 'mischievous animals' encountered May 1, 1830, while he, with two companions, '... walked from Cleveland some 18 miles on the state road westward. The place of destination was not reached until late in the evening, when conversation became difficult from the incessant howling of wolves.'"" Hutchins has also recalled the Great Hinckley Hunt of December 24, 1818, when 300 deer, 21 bears, and 17 wolves were killed near that Medina County village in an all-day hunt by 600 men and boys.","By 1848, after the state had established a bounty for wolf scalps in response to the demands of sheep growers, it was reported that wolves had finally become virtually extinct in Ohio. (See Hutchins, 1979:10-13.) The gray or timber wolf was also an important part of the ecosystem of prehistoric Ohio. This is borne out in the frequency of encounter of wolf bones and teeth in human burial sites and in village refuse middens of Archaic (including Glacial Kame), Woodland, and Mississippian cultures. [Whether it was also a part of the earlier environment of the Palaeo-lndian is a matter of conjecture inasmuch as Palaeo man left no burials and had no fixed habitation sites in Ohio."
inu.30000008754222,Ohio archaeologist.,1992,55,36,extinct,,1,animal,"She has already reported (1957:228) the discovery of a human tibia, a wolf bone, and a sloth bone at the Vero Site in Florida some 30 miles from Melbourne, and has noted that Frederick B. Loomis in 1923 found artifacts in the same horizon with bones of extinct animals including the mammoth and mastodon.]","[Whether it was also a part of the earlier environment of the Palaeo-lndian is a matter of conjecture inasmuch as Palaeo man left no burials and had no fixed habitation sites in Ohio. However, H.M. Wormington has reported the presence of wolf remains in known Palaeo sites in other parts of the country. For example, she has reported the presence of Clovis cultural implements in association with pieces of worked bone in the Sandia Cave at the northern end of the Sandia Mountains in Las Huertas Canyon, New Mexico. lncluded were bone fragments from the prehistoric horse, camel, bison, mammoth, ground sloth, and the wolf. (1957: 86.)","She has already reported (1957:228) the discovery of a human tibia, a wolf bone, and a sloth bone at the Vero Site in Florida some 30 miles from Melbourne, and has noted that Frederick B. Loomis in 1923 found artifacts in the same horizon with bones of extinct animals including the mammoth and mastodon.] Clearly by Late Archaic time the wolf was an integral component of the ecology of the Ohio country as attested by the discovery in 1955 during sand and gravel operations on the Clifford M. Williams farm, less than a mile southwest of Russell's Point at lndian Lake, Logan County, Ohio, of a Glacial Kame wolf mask-headdress. (See Figure 3.) Reported by Raymond S. Baby, then Curator of Archaeology of the Ohio Historical Society, the Williams Site revealed as many as 75 to 90 Glacial Kame burials accompanied by freshwater shell spoons, disc-shaped beads, circular and sub-rectangular shell gorgets, birdstones, atlatl weights, copper beads, and bone awls. However, it was the wolf mask-headdress that elicited the most interest."
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,176,2,extinct,,,race,"The tribe, unless something is done for them, will soon become extinct.","THE NEZ PERCÉS, ocated at Oakland, comprise three hundred and twenty-eight souls, and I am sorry to be compelled to report that there has been a large amount of sickness and many deaths among them during the last year. This arises from the fact that they have not become acclimated, and are to a great extent compelled to live in tepees, the cloth of which has become so rotten from long wear and the effects of the weather as to be no longer capable of keeping out the rain, by which they were soaked during the last spring.","The tribe, unless something is done for them, will soon become extinct. Of all Indians with whom I have become acquainted, they are by far the most intelligent, truthful, and truly religious. Under their pastor, the Rev. Archie Lawyer, a full-blood Nez Percé, one hundred and twenty-four Indians have joined the church (Presbyterian), which was organized during the year by the Synod of Kansas. They are greatly in need of a church in which to hold services, and for want of one are compelled to meet under an arbor covered with branches and leaves. They keep the Sabbath-day holy, abstaining from all kinds of work, and the service at the arbor is attended by every member of the tribe, whether a communicant or not."
