volume_id,title,page,sentence,keyword,Ontopic?1=no,P=positveN=negative[empty]=neutral/other-ForONTOPIConly,context,before_sentence,after_sentence,year
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,56,6,Frontier,,,"The Georgia frontier was often hostile, but much of the Alabama frontier seemed surprisingly friendly.","Agent Hawkins normally had, or thought he had, close contact with the Indians, but he probably did not recognize the problem simply because the leaders he knew, the older chiefs, were well satisfied. These men were out of touch with their own people, particularly the younger mixed bloods.17 It is evident that feelings of hostility had existed among the Creeks for a long time, but they had remained dormant. They exploded into war in 1813 in part because of English and Spanish pressure. Moreover, the Creeks had lost lands to the whites and had suffered at the hands of encroaching frontiersmen who, on occasions, had mistreated individual Creeks.","The Georgia frontier was often hostile, but much of the Alabama frontier seemed surprisingly friendly. In this area there was a considerable amount of assimilation and intermarriage between whites and Indians. Since the Alabama frontier experienced the bloodiest attack, it is evident that the apparent tranquility stirred the deepest anger among the hostiles. What may have triggered the most resentment and fear among the Indians was the construction of a federal wagon road from the Georgia frontier to the Alabama settlements. The Creeks saw the flood of whites who passed through their territory as a threat to their well being.18 With this background of unrest, it is not surprising that the Creeks listened to Tecumseh and believed his words.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,56,8,Frontier,,,"Since the Alabama frontier experienced the bloodiest attack, it is evident that the apparent tranquility stirred the deepest anger among the hostiles.","It is evident that feelings of hostility had existed among the Creeks for a long time, but they had remained dormant. They exploded into war in 1813 in part because of English and Spanish pressure. Moreover, the Creeks had lost lands to the whites and had suffered at the hands of encroaching frontiersmen who, on occasions, had mistreated individual Creeks. The Georgia frontier was often hostile, but much of the Alabama frontier seemed surprisingly friendly. In this area there was a considerable amount of assimilation and intermarriage between whites and Indians.","Since the Alabama frontier experienced the bloodiest attack, it is evident that the apparent tranquility stirred the deepest anger among the hostiles. What may have triggered the most resentment and fear among the Indians was the construction of a federal wagon road from the Georgia frontier to the Alabama settlements. The Creeks saw the flood of whites who passed through their territory as a threat to their well being.18 With this background of unrest, it is not surprising that the Creeks listened to Tecumseh and believed his words. In 1811 Tecumseh traveled over much of the South and through parts of the Creek Nation, but his only real successes came among the Creeks and their Seminole brothers. Tecumseh was most successful among the Creeks probably because of his association with them.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,56,9,Frontier,,,What may have triggered the most resentment and fear among the Indians was the construction of a federal wagon road from the Georgia frontier to the Alabama settlements.,"They exploded into war in 1813 in part because of English and Spanish pressure. Moreover, the Creeks had lost lands to the whites and had suffered at the hands of encroaching frontiersmen who, on occasions, had mistreated individual Creeks. The Georgia frontier was often hostile, but much of the Alabama frontier seemed surprisingly friendly. In this area there was a considerable amount of assimilation and intermarriage between whites and Indians. Since the Alabama frontier experienced the bloodiest attack, it is evident that the apparent tranquility stirred the deepest anger among the hostiles.","What may have triggered the most resentment and fear among the Indians was the construction of a federal wagon road from the Georgia frontier to the Alabama settlements. The Creeks saw the flood of whites who passed through their territory as a threat to their well being.18 With this background of unrest, it is not surprising that the Creeks listened to Tecumseh and believed his words. In 1811 Tecumseh traveled over much of the South and through parts of the Creek Nation, but his only real successes came among the Creeks and their Seminole brothers. Tecumseh was most successful among the Creeks probably because of his association with them. Tecumseh was likely related to the Creeks through his mother, Methoatoske, but he spent little, if any, of his childhood among the Creeks.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,58,3,Frontier,,,"Isaacs' ammunition and a large contingent from the Coweta towns finally forced Francis to withdraw the seige.25 Following the attack on Tookaubatchee, Big Warrior and his people abandoned the town and moved to the Georgia frontier.","40 people that Isaacs was an evil person, a devil or witch, who should be burned at the stake. Some of Isaacs' friends warned him, and he and his party escaped to Tookaubatchee where they joined Big Warrior who had refused to side with the war party. Francis immediately laid seige to Tookaubatchee, but eventually the action failed.","Isaacs' ammunition and a large contingent from the Coweta towns finally forced Francis to withdraw the seige.25 Following the attack on Tookaubatchee, Big Warrior and his people abandoned the town and moved to the Georgia frontier. Francis immediately claimed victory, saying that his people had driven Big Warrior out of the Nation. It was the plan of the Shawnee and Creek Prophets to have all Indians return to hunting and destroy their cattle and farms. The prophets assured the Indians that God would supply their needs, but unfortunately for them, the Almighty did not provide game or hunting skills. The Red Sticks were eventually defeated, as much by starvation, as by the armies of the white men.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,59,2,Frontier,,American frontier,"Governor David Holmes of the Mississippi Territory warned the American frontier, requesting that people move into the forts and blockhouses.","41 apparently convinced Francis that he had no more supplies to give. Even the merchants of the John Forbes Company, the largest trading house in Pensacola, had little to give or sell.29 The Americans learned of Francis' visit to Pensacola and of the Creeks' acquisition of arms and ammunition.","Governor David Holmes of the Mississippi Territory warned the American frontier, requesting that people move into the forts and blockhouses. He also ordered the territorial militia to the frontier, and a number of units were sent to scout the Indians. One such unit was commanded by Colonel James Caller with orders giving him considerable latitude, but he was primarily a scout. Caller's force numbered about 180 men, including whites, mixed bloods, and friendly Indians who were apparently living as whites and serving in the territorial militia. Although carrying their own weapons, the party was considered to be very well armed.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,59,3,Frontier,,,"He also ordered the territorial militia to the frontier, and a number of units were sent to scout the Indians.","41 apparently convinced Francis that he had no more supplies to give. Even the merchants of the John Forbes Company, the largest trading house in Pensacola, had little to give or sell.29 The Americans learned of Francis' visit to Pensacola and of the Creeks' acquisition of arms and ammunition. Governor David Holmes of the Mississippi Territory warned the American frontier, requesting that people move into the forts and blockhouses.","He also ordered the territorial militia to the frontier, and a number of units were sent to scout the Indians. One such unit was commanded by Colonel James Caller with orders giving him considerable latitude, but he was primarily a scout. Caller's force numbered about 180 men, including whites, mixed bloods, and friendly Indians who were apparently living as whites and serving in the territorial militia. Although carrying their own weapons, the party was considered to be very well armed. On July 27, 1813, Caller's force discovered a group of Creeks returning from Pensacola with the ammunition and supplies.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,61,22,Frontier,,,"The entire frontier was in a state of panic.""1","Apparently the success at Fort Mims met with mixed feelings in the Creek Nation. The Indian victory was bittersweet since the Creeks lost over 200 men killed that many more wounded. The total number killed and wounded amounted to about half the hostile Creeks participating in this attack. At first the Creeks resented the prophets, but later most of the Indians were better satisfied with the war and their holy men. The Fort Mims victory reinforced the belief among Indians and whites that the Indians were invincible.","The entire frontier was in a state of panic.""1 Soon after the Fort Mims Massacre there was an unsuccessful attack made on Fort Sinquelield, located at the confluence of the Alabama and Tombigbee Rivers. The fort was not captured, although a number of families who had remained in their homes, refusing to go to the fort, were killed by the Red Sticks. There were about 100",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,68,3,Frontier,,American frontier,"While Francis recruited followers from both the Creeks and Seminoles and was a leader among the Seminoles at Fowltown, he was apparently not responsible for the attack those Indians made on the American frontier or for the massacre of Lieutenant R.W. Scott's party of 46 Americans.","so be another war with the United States. The Prophet reasoned that the only way the Creeks had any chance of success was to unite all Indians against the common enemy. Never did Francis want to have another Indian civil war.72 Francis first established his mixed blood wife and two daughters near St. Marks, a place soon to become the headquarters of his group.","While Francis recruited followers from both the Creeks and Seminoles and was a leader among the Seminoles at Fowltown, he was apparently not responsible for the attack those Indians made on the American frontier or for the massacre of Lieutenant R.W. Scott's party of 46 Americans. This action took place near Fowltown, and later investigation indicated it was the Red Sticks there who were responsible.73 These attacks eventually proved to be Francis' undoing, because they ultimately resulted in Andrew Jackson's invasion of Florida. On April 7, 1818, Jackson invaded Florida, burned Fowltown, and captured St. Marks. At St. Marks Jackson's men burned Francis' home and the village, but the Prophet and his people escaped into the woods.74 Soon after the fall of St. Marks, the holy man observed a schooner flying a British flag. Francis and another hostile leader Himollemico, thinking it carried arms from Nicolls, paddled out to the schooner and boarded it.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,77,6,Frontier,,,"Realizing that frontier settlers might accept peaceful and sober Indians as neighbors, he jailed against violence and alcoholism.","Another white man saw Kickapoos voluntarily accemiag^'JashjesjjajJieir bare backs, so well if laid onjis to cause the blood to rutjjrjggj^ Many of them bore visible f scars on meir^acTsTcaTused by former flagellations."" After the ordeal, penitents would shake hands with their flagellators and declare themselves ""relieved of a heavy burden. ""6 While such practices strengthened tribal unity and enabled Kenekuk to maintain discipline, his emphasis on both abstinence and S peaceful coexistence with whites was even more important. Kenekuk* knew that^ the violent anti-American policies of ,^cumseh and_the Shawnee PropJiet had been disastrous for the Indians, an3 he was determined that his people be spared a similar fate.","Realizing that frontier settlers might accept peaceful and sober Indians as neighbors, he jailed against violence and alcoholism. He commanded his followers to love their neigKbors and to turn the other cheek when wronged; he warned drunks they would ""go into a place prepared for the wicked, and suffer endless days and nights of grief. ""7 As other tribes disintegrated, losing their lands because of drunkenness and hostility, Kenekuk's followers discarded their Algonquin medicine bundles, stopped painting their bodies, and abandoned many other traditional practices, but their religion remained thoroughly in harmony with Kickapoo beliefs. They steadtastly refuseJlolearn English and continued to perform their native music and dancing at religious ceremonies.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,123,3,Frontier,,,"As one historian has noted, the Sioux died at Wounded Knee at the end of the same year in which the superintendent of the census announced the closure of the frontier.34 Thus, Wovoka, his religion, and Wounded Knee have become a metaphor for a nation in transition from the wilderness to a modern industrial state.35 Transition was equally an appropriate element of Wovokas life, especially during that period after Wounded Knee.","105 still sent them to Nevada seeking news of the millennium, that they should return to their respective tribes and stop the dances. The Indian resurrection had been postponed. For the nation, the Ghost Dance soon retreated into memory as the ""Last Indian War.""","As one historian has noted, the Sioux died at Wounded Knee at the end of the same year in which the superintendent of the census announced the closure of the frontier.34 Thus, Wovoka, his religion, and Wounded Knee have become a metaphor for a nation in transition from the wilderness to a modern industrial state.35 Transition was equally an appropriate element of Wovokas life, especially during that period after Wounded Knee. Although his promise of an Indian millennium was not fulfilled, he still inspired devotion among followers beyond his own Paiutes. That devotion represented, in part, a continuing desire for a better life. Burdened by the present and discomfitted by a future that offered little hope, many Indians sought succor in a restored past. For his followers, Wovoka served as a last link in a chain that bound them to individual ways of life, separate and distinct from mainstream American society which stood poised on the threshold of a new century.",1986
mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,22,7,Frontier,,,"The spectacular aspect of the conflict, which featured feathered war bonnets, slashing cavalry swords, and the flaming frontier, was simply missing, and without these dramatic and traditional symbols of Indian warfare, people thought that the Indians had been tamed.","They knew little else except that Indians were poor (though a few had immense income from oil wells) and were trying to preserve their culture. As the contemporary Indian revival began to take shape and the news media, bored with the anti-war protests and civil-rights marches, became fascinated with Indians, the incidents marking the Indian protest trail were seen as another segment of the domestic social complex flexing its muscles. Rather than understanding the protests as a continuing struggle of Indians, the media characterized them as a new development, thereby missing the entire meaning of the protest issues. In fact, the tragic climax of formal fighting between the United States and the Indians—the slaughter of Big Foot's band of Minneconjou Sioux at Wounded Knee, South Dakota-did not mark the end of the Indian struggle to preserve national identity. Although virtually unnoticed, the fighting continued through the twentieth century as surely as it had during the previous century of contact.","The spectacular aspect of the conflict, which featured feathered war bonnets, slashing cavalry swords, and the flaming frontier, was simply missing, and without these dramatic and traditional symbols of Indian warfare, people thought that the Indians had been tamed. Following the last series of treaties with the tribes in 1868, the federal government found itself with trusteeship over millions of acres of Indian lands and",1974
mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,34,1,Frontier,,,"Bootlegging spirits to the reservations was one of the remaining popular crimes in the frontier West, which was fading fast from its rough beginnings.","of liquor to Indians, since alcohol led to most expressions of discontent among all the tribes.","Bootlegging spirits to the reservations was one of the remaining popular crimes in the frontier West, which was fading fast from its rough beginnings. In order to control the liquor trade, the United States had to maintain that the Pueblos were then and had theoretically always been under the control of Congress. The Supreme Court accepted the argument, and the result was to call into question the many land sales and homesteads which had been made on the Pueblo lands over a forty-year period. The whites in New Mexico were livid over the decision, and, under Senator Hiram Bursum of New Mexico, promptly rallied to seek legislation which would nullify the effect of the Supreme Court decision. Various schemes were put forth to deprive the Pueblos of the right to their lands.",1974
mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,109,3,Frontier,,,"Europe's interest in the New World during the next hundred and fifty years can be classified in three categories: 1) areas where the local products were easily extractable and had an immediate market in Europe; 2) forced labor where the local economics could be reorganized, usually through the institution of slavery, to procure the product for the world market; and 3) the transplantation of Europe into America, a phenomenon that existed in two forms in conjunction with the exploitative concept and as new frontiers were transformed into European-style homes.","lack of immediate riches in the lands they discovered; 2) a constant outlet for aggression in the politics at home; and 3) basic misjudgment of the land's potential. With the restoration of the Stuarts in 1660, a measure of civil order returned to England. With the conclusion of the Thirty Years' War and the Peace of the Pyrenees, Europe's interest turned to a less savage occupation: the more intense struggle for power and money.","Europe's interest in the New World during the next hundred and fifty years can be classified in three categories: 1) areas where the local products were easily extractable and had an immediate market in Europe; 2) forced labor where the local economics could be reorganized, usually through the institution of slavery, to procure the product for the world market; and 3) the transplantation of Europe into America, a phenomenon that existed in two forms in conjunction with the exploitative concept and as new frontiers were transformed into European-style homes. It is with the emerging frontier philosophy that the real question of Indian title arose. The English who arrived at Jamestown in 1607 were concerned over the title of lands, since property was the basis for Anglo-Saxon law. The colonists and the mother countries were faced with the problems of defining the rights of Europeans against Europeans in conflicting claims in the New World. But what was the extent of Indian property rights as against Europeans', and how were these rights, if existent, to be treated?",1974
mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,109,4,Frontier,,,It is with the emerging frontier philosophy that the real question of Indian title arose.,"lack of immediate riches in the lands they discovered; 2) a constant outlet for aggression in the politics at home; and 3) basic misjudgment of the land's potential. With the restoration of the Stuarts in 1660, a measure of civil order returned to England. With the conclusion of the Thirty Years' War and the Peace of the Pyrenees, Europe's interest turned to a less savage occupation: the more intense struggle for power and money. Europe's interest in the New World during the next hundred and fifty years can be classified in three categories: 1) areas where the local products were easily extractable and had an immediate market in Europe; 2) forced labor where the local economics could be reorganized, usually through the institution of slavery, to procure the product for the world market; and 3) the transplantation of Europe into America, a phenomenon that existed in two forms in conjunction with the exploitative concept and as new frontiers were transformed into European-style homes.","It is with the emerging frontier philosophy that the real question of Indian title arose. The English who arrived at Jamestown in 1607 were concerned over the title of lands, since property was the basis for Anglo-Saxon law. The colonists and the mother countries were faced with the problems of defining the rights of Europeans against Europeans in conflicting claims in the New World. But what was the extent of Indian property rights as against Europeans', and how were these rights, if existent, to be treated? The second question facing the colonists was much more difficult to answer.",1974
mdp.39015001342511,Behind the Trail of Broken Treaties; an Indian declaration of independence,138,5,Frontier,,,The federal policy was to contain their western frontier by getting the tribes to view the United States as a benevolent union which they might someday join.,"to the interest of the United States, to join the present confederation, and to form a state whereof the Delaware nation shall be the head, and have a representation in Congress: Provided, nothing contained in this article to be considered as conclusive until it meets with the approbation of Congress. And it is also the intent and meaning of this article, that no protection or countenance shall be afforded to any who are at present our enemies, by which they might escape the punishment they deserve. Far from considering the Indian tribes as domestic wards, the early colonists saw as the major possibility of annexing more territory the option of extending the tribes statehood in the new confederation. In 1785 this offer was also tendered to the Cherokees of the deep South: That the Indians may have full confidence in the justice of the United States, respecting their interests, they shall have the right to send a deputy of their choice, whenever they think fit, to Congress.","The federal policy was to contain their western frontier by getting the tribes to view the United States as a benevolent union which they might someday join. In neither the Delaware nor the Cherokee treaty is any claim made regarding the primacy of the United States over the self-governing functions of the tribe. The treaty of peace ending the Revolutionary War, signed in 1783 between Great Britain and the United States, recognized the United States as a nation with international status and fixed the extent of the boundaries of the new nation with respect to the pos-",1974
