htid,title,person
hvd.32044011813458,Jailed for freedom ,"Stevens, Doris 1892-1963 "
hvd.32044021137013,Are women people? A book of rhymes for suffrage times ,"Miller, Alice Duer 1874-1942 "
hvd.32044013660121,The California earthquake of 1906 ,"Austin, Mary Hunter 1868-1934 "
hvd.32044024316309,Star dust ,"Hurst, Fannie 1889-1968 "
coo1.ark:/13960/t3ws9771j,Functional periodicity an experimental study of the mental and motor abilities of women during menstruation ,"Hollingworth, Leta Stetter 1886-1939 "
coo1.ark:/13960/t6tx3wp21,"The home, its work and influence ","Gilman, Charlotte Perkins 1860-1935 "
hvd.32044014224430,The social significance of the modern drama ,"Goldman, Emma 1869-1940 "
hvd.32044024316309,Star-dust the story of an American girl ,"Hurst, Fannie 1889-1968 "
hvd.32044080930290,The ninth man a story ,"Vorse, Mary Heaton 1874-1966 "
coo1.ark:/13960/t7gq7gj98,The glory of the conquered ,"Glaspell, Susan 1876-1948 "
hvd.32044087376166,Moving the mountain ,"Gilman, Charlotte Perkins 1860-1935 "
hvd.32044100891449,The social significance of the modern drama ,"Goldman, Emma 1869-1940 "
hvd.ah3eu9,Psychology of the unconscious a study of the transformations and symbolisms of the libido : a contribution to the history of the evolution of thought ,"Hinkle, Beatrice M. "
hvd.hn5p9e,Manslaughter ,"Miller, Alice Duer 1874-1942 "
hvd.32044019254747,Outland ,"Austin, Mary Hunter 1868-1934 "
hvd.hngbe2,Mother earth ,"Goldman, Emma 1869-1940 "
hvd.hw247f,The ford ,"Austin, Mary Hunter 1868-1934 "
hvd.32044020482170,The glory of the conquered the story of a great love ,"Glaspell, Susan 1876-1948 "
hvd.hw2q7o,The trail book ,"Austin, Mary Hunter 1868-1934 "
coo1.ark:/13960/t84j12m4z,Concerning children ,"Gilman, Charlotte Perkins 1860-1935 "
hvd.rsl2ac,The Sturdy oak a composite novel of American politics ,"Austin, Mary Hunter 1868-1934 "
coo1.ark:/13960/t9f487j6p,"The man-made world or, our androcentric culture ","Gilman, Charlotte Perkins 1860-1935 "
hvd.32044025029695,Autobiography of an elderly woman ,"Vorse, Mary Heaton 1874-1966 "
hvd.32044004603189,Marriage and love ,"Goldman, Emma 1869-1940 "
hvd.32044029534682,The psychology of subnormal children ,"Hollingworth, Leta Stetter 1886-1939 "
hvd.32044014545404,Anarchism and other essays ,"Goldman, Emma 1869-1940 "
hvd.32044030503403,Concerning children ,"Gilman, Charlotte Perkins 1860-1935 "
hvd.rslew9,In this our world ,"Gilman, Charlotte Perkins 1860-1935 "
hvd.32044018934034,The path on the rainbow an anthology of songs and chants from the Indians of North America ,"Austin, Mary Hunter 1868-1934 "
hvd.32044031677628,The psychology of subnormal children ,"Hollingworth, Leta Stetter 1886-1939 "
hvd.32044031715816,Jailed for freedom ,"Stevens, Doris 1892-1963 "
hvd.32044087351524,The young woman citizen ,"Austin, Mary Hunter 1868-1934 "
hvd.rsltx4,Plays ,"Glaspell, Susan 1876-1948 "
hvd.rsmcvl,Women and economics a study of the economic relation between men and women as a factor in social evolution ,"Gilman, Charlotte Perkins 1860-1935 "
hvd.32044087354858,"Woman suffrage history, arguments and results : a collection of seven popular booklets covering practically the entire field of suffrage claims and evidence : designed especially for the convenience of suffrage speakers and writers and for the use of debaters and libraries ","Maule, Frances 1879-1966 "
iau.31858007267721,Plays ,"Glaspell, Susan 1876-1948 "
hvd.32044038508826,Women and economics a study of the economic relation between men and women as a factor in social evolution ,"Gilman, Charlotte Perkins 1860-1935 "
inu.30000025557269,Correlation of look-alone and listen-alone abilities in normal-hearing listeners ,"Chamberlain, Mary Marguerite. "
hvd.32044080918766,The beauty and the bolshevist ,"Miller, Alice Duer 1874-1942 "
inu.30000114412590,Lummox ,"Hurst, Fannie 1889-1968 "
hvd.32044080918774,Calderon's prisoner ,"Miller, Alice Duer 1874-1942 "
hvd.32044087382800,Concerning children ,"Gilman, Charlotte Perkins 1860-1935 "
inu.39000001064158,Imitation of life ,"Hurst, Fannie 1889-1968 "
hvd.hn1fhl,The little missioner ,"Putnam, Nina Wilcox 1888-1962 "
inu.39000005842245,Fenwomen a portrait of women in an English village ,"Chamberlain, Mary 1947- "
loc.ark:/13960/t15m6qx2v,The arrow-maker a drama in three acts ,"Austin, Mary Hunter 1868-1934 "
hvd.32044080918774,Cyril Vane's wife ,"Miller, Alice Duer 1874-1942 "
loc.ark:/13960/t1cj98232,The arrow-maker a drama in three acts ,"Austin, Mary Hunter 1868-1934 "
hvd.32044087385894,What eight million women want ,"Dorr, Rheta Childe 1866-1948 "
loc.ark:/13960/t3qv4cv7d,Inheritors a play in three acts ,"Glaspell, Susan 1876-1948 "
loc.ark:/13960/t4jm32z12,"What the Mexican conference really means Its represents desires of the people, deprived of human rights, to re-establish themselves in the scheme of social evolution ","Austin, Mary Hunter 1868-1934 "
hvd.32044105365464,The California earthquake of 1906 ,"Austin, Mary Hunter 1868-1934 "
mdp.39015000486749,Alphard form and content ,"Shaw, Mary 1943- "
hvd.hn1fhm,West Broadway ,"Putnam, Nina Wilcox 1888-1962 "
mdp.39015001507949,Living my life ,"Goldman, Emma 1869-1940 "
hvd.hn1mi9,The very little person ,"Vorse, Mary Heaton 1874-1966 "
hvd.hn1fhn,Believe you me! ,"Putnam, Nina Wilcox 1888-1962 "
hvd.hn1fir,Every little bit helps ,"Putnam, Nina Wilcox 1888-1962 "
mdp.39015002216631,The psychology of subnormal children ,"Hollingworth, Leta Stetter 1886-1939 "
hvd.hn1ipk,I have come to stay ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015003367854,My disillusionment in Russia ,"Goldman, Emma 1869-1940 "
hvd.hn1mia,The Prestons ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015003470872,Living my life ,"Goldman, Emma 1869-1940 "
hvd.hn1nx5,Poems ,"Miller, Alice Duer 1874-1942 "
hvd.hn23k8,Poems ,"Miller, Alice Duer 1874-1942 "
mdp.39015003930016,Brook Evans ,"Glaspell, Susan 1876-1948 "
mdp.39015003930057,The glory of the conquered the story of a great love ,"Glaspell, Susan 1876-1948 "
hvd.hn5p9g,The blue arch ,"Miller, Alice Duer 1874-1942 "
hvd.hn1qwy,The lovely lady ,"Austin, Mary Hunter 1868-1934 "
mdp.39015003930073,The morning is near us a novel ,"Glaspell, Susan 1876-1948 "
hvd.hngbdy,Mother earth ,"Goldman, Emma 1869-1940 "
mdp.39015004001825,"The yellow wallpaper, and other fiction ","Gilman, Charlotte Perkins 1860-1935 "
hvd.hngbeh,Mother earth ,"Goldman, Emma 1869-1940 "
hvd.hngbdx,Mother earth ,"Goldman, Emma 1869-1940 "
hvd.hnqhzh,The heart's country ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015004117902,Autobiography of an elderly woman ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015004754761,My further disillusionment in Russia ,"Goldman, Emma 1869-1940 "
hvd.hws7m9,Wandlungen und Symbole der Libido. English ,"Hinkle, Beatrice M. "
mdp.39015005525715,The land of little rain ,"Austin, Mary Hunter 1868-1934 "
mdp.39015005916245,Six of one ,"Brown, Rita Mae. "
mdp.39015006580289,Experiences facing death ,"Austin, Mary Hunter 1868-1934 "
mdp.39015006956612,Earth horizon autobiography ,"Austin, Mary Hunter 1868-1934 "
hvd.hngbeg,Mother earth ,"Goldman, Emma 1869-1940 "
hvd.hnqaj4,The visioning a novel ,"Glaspell, Susan 1876-1948 "
hvd.rsleu8,Women and economics a study of the economic relation between men and women as a factor in social evolution ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015007397634,"Against our will men, women and rape ","Brownmiller, Susan. "
hvd.rsleum,What eight million women want ,"Dorr, Rheta Childe 1866-1948 "
mdp.39015008033394,"Gifted children, their nature and nurture ","Hollingworth, Leta Stetter 1886-1939 "
hvd.rslu9d,The flock ,"Austin, Mary Hunter 1868-1934 "
hvd.hws7m9,Psychology of the unconscious a study of the transformations and symbolisms of the libido : a contribution to the history of the evolution of thought ,"Hinkle, Beatrice M. "
mdp.39015008370614,Susan B. Anthony the woman who changed the mind of a nation ,"Dorr, Rheta Childe 1866-1948 "
ien.35556003189057,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
mdp.39015010301045,The Prestons ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015011208587,The arrow maker a drama in three acts ,"Austin, Mary Hunter 1868-1934 "
mdp.39015011300905,Amazon odyssey [collection of writings] ,"Atkinson, Ti-Grace. "
inu.30000005044056,Alison's house a play in three acts ,"Glaspell, Susan 1876-1948 "
inu.30000011821240,Earth horizon autobiography ,"Austin, Mary Hunter 1868-1934 "
inu.30000083476410,"The home, its work and influence ","Gilman, Charlotte Perkins 1860-1935 "
inu.30000114412533,"Fool, be still ","Hurst, Fannie 1889-1968 "
mdp.39015013236966,"Robert M. La Follette, June 14, 1855-June 18, 1925 ","La Follette, Fola. "
hvd.hxdiyd,Poems ,"Miller, Alice Duer 1874-1942 "
hvd.hxdmus,The modern obstacle ,"Miller, Alice Duer 1874-1942 "
loc.ark:/13960/t13n3134c,Plays ,"Glaspell, Susan 1876-1948 "
mdp.39015013434926,Mother Earth bulletin ,"Goldman, Emma 1869-1940 ed. "
loc.ark:/13960/t3jw94c8d,Mother earth ,"Goldman, Emma 1869-1940 "
mdp.39015013434934,Mother Earth bulletin ,"Goldman, Emma 1869-1940 ed. "
loc.ark:/13960/t41r7b38s,"In this our world, and other poems ","Gilman, Charlotte Perkins 1860-1935 "
mdp.39015013498194,Mother Earth bulletin ,"Goldman, Emma 1869-1940 ed. "
hvd.hxdmv3,Things ,"Miller, Alice Duer Mrs 1874- "
hvd.hxdn91,It pays to smile ,"Putnam, Nina Wilcox Mrs "
mdp.39015014188810,Mother Earth ,"Goldman, Emma 1869-1940 ed. "
loc.ark:/13960/t4bp0r901,The charm school a comedy in three acts ,"Miller, Alice Duer Mrs 1874- "
mdp.39015015382842,Starting from scratch a different kind of writers' manual ,"Brown, Rita Mae. "
loc.ark:/13960/t7zk5v593,Child study for mothers and teachers ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015016768312,The ninth man a story ,"Vorse, Mary Heaton 1874-1966 "
loc.ark:/13960/t9f485n47,Come out of the kitchen a comedy in three acts ,"Miller, Alice Duer 1874-1942 "
hvd.rsl1fw,A woman of genius ,"Austin, Mary Hunter 1868-1934 "
mdp.39015019233363,"The McCarren Act, fact and fancy ","Flynn, Elizabeth Gurley. "
mdp.39015000532336,Herland ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015020088954,The lands of the sun ,"Austin, Mary Hunter 1868-1934 "
mdp.39015020643766,Southern discomfort ,"Brown, Rita Mae. "
mdp.39015000903040,"Against our will men, women and rape ","Brownmiller, Susan. "
hvd.rsleuj,Concerning children ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015020744853,Radical feminism ,"Koedt, Anne comp. "
mdp.39015001151458,"Psychology of the unconscious a study of the transformations and symbolisms of the libido, a contribution to the history of the evolution of thought ","Hinkle, Beatrice M. tr. "
hvd.rslhae,"The man-made world or, Our androcentric culture ","Gilman, Charlotte Perkins 1860-1935 "
mdp.39015020746221,Red Emma speaks selected writings and speeches ,"Goldman, Emma 1869-1940 "
mdp.39015002368200,"Academic women, sex discrimination and the law ","Crothers, Diane. "
mdp.39015020829084,"Emma Goldman and the American left ""Nowhere at home"" ","Goldman, Emma 1869-1940 "
mdp.39015003894212,Radical feminism ,"Koedt, Anne comp. "
iau.31858015994209,Human work ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015026918345,Fenwomen a portrait of women in an English village ,"Chamberlain, Mary 1947- "
mdp.39015003905505,Living my life ,"Goldman, Emma 1869-1940 "
iau.31858023968278,There'll come a day a comedy in three acts ,"Hale, Ruth. "
mdp.39015003929992,Ambrose Holt and family ,"Glaspell, Susan 1876-1948 "
iau.31858024874046,Women and economics a study of the economic relation between men and women as a factor in social evolution ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015003930032,Fugitive's return ,"Glaspell, Susan 1876-1948 "
iau.31858034625388,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
mdp.39015029865980,"Lifted masks, and other works ","Glaspell, Susan 1876-1948 "
mdp.39015003930099,The visioning a novel ,"Glaspell, Susan 1876-1948 "
mdp.39015031325809,Humoresque a laugh on life with a tear behind it ,"Hurst, Fannie 1889-1968 "
mdp.39015003941120,In this our world ,"Gilman, Charlotte Perkins 1860-1935 "
ien.35556032669863,The verge a play in three acts ,"Glaspell, Susan 1876-1948 "
mdp.39015004198076,Living my life ,"Goldman, Emma 1869-1940 "
mdp.39015005380780,"The anatomy of freedom feminism, physics, and global politics ","Morgan, Robin 1941- "
inu.30000005469014,Shirley Chisholm a biography ,"Brownmiller, Susan. "
mdp.39015008002357,"Psychology of the unconscious a study of the transformations and symbolisms of the libido, a contribution to the history of the evolution of thought ","Hinkle, Beatrice M. tr. "
inu.30000010407140,A woman of genius ,"Austin, Mary Hunter 1868-1934 "
mdp.39015010300831,Growing up ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015031325908,Humoresque a laugh on life with a tear behind it ,"Hurst, Fannie 1889-1968 "
loc.ark:/13960/t1qf9j95j,Vocational psychology its problems and methods ,"Hollingworth, Leta Stetter 1886-1939 "
mdp.39015013426286,Words on fire the life and writing of Elizabeth Gurley Flynn ,"Flynn, Elizabeth Gurley. "
mdp.39015031325916,Mannequin ,"Hurst, Fannie 1889-1968 "
mdp.39015031325999,Appassionata ,"Hurst, Fannie 1889-1968 "
loc.ark:/13960/t4cn7x301,The Mexican-American league ,"Eastman, Crystal 1881-1928 "
mdp.39015031708145,Charlotte Perkins Gilman her progress toward Utopia with selected writings ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015014519279,Mother Earth ,"Goldman, Emma 1869-1940 ed. "
mdp.39015015401212,Poems ,"Brown, Rita Mae. "
mdp.39015016208426,Rubyfruit jungle ,"Brown, Rita Mae. "
mdp.39015016894431,Mother Earth ,"Goldman, Emma 1869-1940 ed. "
mdp.39015019641409,The breaking in of a yachtsman's wife ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015020691401,Sisterhood is global the international women's movement anthology ,"Morgan, Robin. "
mdp.39015020829084,Nowhere at home ,"Goldman, Emma 1869-1940 "
mdp.39015032388160,Mother Earth bulletin ,"Goldman, Emma 1869-1940 ed. "
mdp.39015024184569,The American rhythm studies and reexpressions of Amerindian songs ,"Austin, Mary Hunter 1868-1934 "
loc.ark:/13960/t4sj2045h,Women wanted the story written in blood red letters on the horizon of the great world war ,"Daggett, Mabel Potter 1871-1927. [from old catalog] "
mdp.39015032766316,Ã—Â©Ã—Â Ã—â€ù Ã—â€ùÃ—â€˜Ã—ÂêÃ—â€ù Ã—â€˜Ã—â„¢Ã—Â¨Ã—â€¢Ã—Â©Ã—Å“Ã—â„¢Ã—Âù. Ã—Â¢Ã—â€˜Ã—Â¨Ã—â„¢Ã—Âª ,"Willis, Ellen. "
mdp.39015024850334,Mother Earth bulletin ,"Goldman, Emma 1869-1940 ed. "
mdp.39015025099410,Plays ,"Glaspell, Susan 1876-1948 "
mdp.39015028780578,The verge a play in three acts ,"Glaspell, Susan 1876-1948 "
loc.ark:/13960/t4xh07w5d,Autobiography of an elderly woman ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015031325924,Procession ,"Hurst, Fannie 1889-1968 "
loc.ark:/13960/t6k07vz27,"What the Mexican conference really means Its represents desires of the people, deprived of human rights, to re-establish themselves in the scheme of social evolution ","Austin, Mary Hunter 1868-1934 "
mdp.39015032766316,Ã_Â»Imut bi-Yerushalayim duaÃ¡Â¸Â¥ ishi ,"Willis, Ellen. "
mdp.39015031326013,Anitra's dance ,"Hurst, Fannie 1889-1968 "
mdp.39015034804420,One-smoke stories ,"Austin, Mary Hunter 1868-1934 "
mdp.39015031477915,"Gifted children, their nature and nurture ","Hollingworth, Leta Stetter 1886-1939 "
loc.ark:/13960/t7hq4dj3q,Poems ,"Miller, Alice Duer 1874-1942 "
mdp.39015032151949,Dolley a novel of Dolley Madison in love and war ,"Brown, Rita Mae. "
loc.ark:/13960/t8z89kq28,The land of little rain ,"Austin, Mary Hunter 1868-1934 "
mdp.39015032811435,"""The yellow wall-paper"" and selected stories of Charlotte Perkins Gilman ","Gilman, Charlotte Perkins 1860-1935 "
mdp.39015038890599,The verge a play in three acts ,"Glaspell, Susan 1876-1948 "
loc.ark:/13960/t9k36hd2d,Women are people! ,"Miller, Alice Duer Mrs 1874- "
mdp.39015037030171,Mother Earth ,"Goldman, Emma 1869-1940 ed. "
mdp.39015039926962,With her in Ourland sequel to Herland ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015002148016,Songs to a handsome woman ,"Brown, Rita Mae. "
mdp.39015037032805,Mother Earth bulletin ,"Goldman, Emma 1869-1940 ed. "
mdp.39015041770531,"Murder, she meowed ","Brown, Rita Mae. "
mdp.39015002191826,Nowhere at home letters from exile of Emma Goldman and Alexander Berkman ,"Goldman, Emma 1869-1940 "
mdp.39015037305235,Riding shotgun ,"Brown, Rita Mae. "
mdp.39015046864115,Living my life ,"Goldman, Emma 1869-1940 "
mdp.39015048428356,Survey of interest-rate futures markets ,"Jaffe, Naomi L. "
mdp.39015037424507,Software architecture pespectives on an emerging discipline ,"Shaw, Mary 1943- "
mdp.39015048518933,The traffic in women and other essays on feminism ,"Goldman, Emma 1869-1940 "
mdp.39015039890879,Rita will memoir of a literary rabble-rouser ,"Brown, Rita Mae. "
mdp.39015003905356,Living my life ,"Goldman, Emma 1869-1940 "
mdp.39015004294479,"The record of the Leslie woman suffrage commission, inc., 1917-1929 ","Young, Rose E. (Rose Emmet) 1869-1941 "
mdp.39015005210607,A woman of genius ,"Austin, Mary Hunter 1868-1934 "
mdp.39015046851203,Imitation of life a novel ,"Hurst, Fannie 1889-1968 "
mdp.39015005565604,Human work ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015048768363,"Don't think, smile! notes on a decade of denial ","Willis, Ellen. "
mdp.39015007658811,The Carnegie-Mellon curriculum for undergraduate computer science ,"Shaw, Mary 1943- "
mdp.39015050607897,The white cliffs ,"Miller, Alice Duer 1874-1942 "
mdp.39015046851773,"The yellow wallpaper, and other fiction ","Gilman, Charlotte Perkins 1860-1935 "
mdp.39015008033394,"Children, Gifted ","Hollingworth, Leta Stetter 1886-1939 "
mdp.39015047441707,Narrative of grief and recovery ,"Lazarre, Jane. "
mdp.39015008550777,Alison's house a play in three acts ,"Glaspell, Susan 1876-1948 "
mdp.39015008580576,Trifles ,"Glaspell, Susan 1876-1948 "
mdp.39015057044763,The people and Close the book two one-act plays ,"Glaspell, Susan 1876-1948 "
mdp.39015047717791,Outfoxed ,"Brown, Rita Mae. "
mdp.39015047866101,Pawing through the past ,"Brown, Rita Mae. "
mdp.39015008623038,"Literary America, 1903-1934 the Mary Austin letters ","Austin, Mary Hunter 1868-1934 "
mdp.39015008717566,"Children above 180 IQ, Stanford-Binet origin and development ","Hollingworth, Leta Stetter 1886-1939 "
mdp.39015010444852,The land of journeys' ending ,"Austin, Mary Hunter 1868-1934 "
mdp.39015048921301,Airless spaces ,"Firestone, Shulamith. "
mdp.39015062391027,Can prayer be answered? ,"Austin, Mary Hunter 1868-1934 "
mdp.39015056316360,The crux ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015062457703,The Carnegie-Mellon curriculum for undergraduate computer science ,"Shaw, Mary 1943- "
mdp.39015062674141,Anarchism and other essays ,"Goldman, Emma 1869-1940 "
mdp.39015056462297,Hotspur ,"Brown, Rita Mae. "
mdp.39015057044763,Close the book ,"Glaspell, Susan 1876-1948 "
mdp.39015063249232,Sour puss ,"Brown, Rita Mae. "
mdp.39015063542412,Wreckage a play in one act ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015010742669,"""Employers' liability,"" a criticism based on facts ","Eastman, Crystal 1881-1928 "
mdp.39015059415383,"Instruments of darkness, and other stories ","Miller, Alice Duer 1874-1942 "
mdp.39015063753605,We inheritors ,"Chamberlain, Mary Stuart. "
mdp.39015010860487,Depth perception new poems and a masque ,"Morgan, Robin 1941- "
mdp.39015060848572,The road to the temple a biography of George Cram Cook ,"Glaspell, Susan 1876-1948 "
mdp.39015063915436,Starry adventure ,"Austin, Mary Hunter 1868-1934 "
mdp.39015062738730,The psychology of the adolescent ,"Hollingworth, Leta Stetter 1886-1939 "
mdp.39015064689212,The burning time [a novel] ,"Morgan, Robin 1941- "
mdp.39015063737681,The arrow-maker a drama in three acts ,"Austin, Mary Hunter 1868-1934 "
mdp.39015063960028,The delicatessen husband and other essays ,"Seabury, Florence (Guy) Mrs "
mdp.39015066053730,Santa Lucia a common story ,"Austin, Mary Hunter 1868-1934 "
mdp.39015066844005,Selections. 2006 ,"Austin, Mary Hunter 1868-1934 "
mdp.39015066195788,Enemies ,"Glaspell, Susan 1876-1948 "
mdp.39015012919539,Western trails a collection of short stories ,"Austin, Mary Hunter 1868-1934 "
mdp.39015068647703,Horizons of the future for a socialist America ,"Flynn, Elizabeth Gurley. "
mdp.39015012966225,High hearts ,"Brown, Rita Mae. "
mdp.39015068648263,Freedom begins at home ,"Flynn, Elizabeth Gurley. "
mdp.39015066195788,Suppressed desires ,"Glaspell, Susan 1876-1948 "
mdp.39015013012466,"She strives to conquer business behavior, opportunities and job requirements for women, y Frances Maule ","Maule, Frances 1879-1966 "
mdp.39015070895316,Strike. Dutch ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015073492111,"Elizabeth Gurley Flynn speaks to the court opening statement to the court and jury in the case of the sixteen Smith Act victims in the trial at Foley Square, New York ","Flynn, Elizabeth Gurley. "
mdp.39015013355816,Six of one ,"Brown, Rita Mae. "
mdp.39015013434926,Mother Earth ,"Goldman, Emma 1869-1940 ed. "
mdp.39015014188802,Mother Earth bulletin ,"Goldman, Emma 1869-1940 ed. "
mdp.39015014519279,Mother Earth bulletin ,"Goldman, Emma 1869-1940 ed. "
mdp.39015080257093,"Paintings & drawings of Jeannette Scott, 1864-1937 ","Stevens, Doris 1892-1963 "
mdp.39015014577772,Bingo ,"Brown, Rita Mae. "
mdp.39015016120076,Work accidents and the law ,"Eastman, Crystal 1881-1928 "
mdp.39015080827309,The grim reaper's road map an atlas of mortality in Britain ,"Shaw, Mary 1968- "
mdp.39015016145933,Sisterhood is powerful an anthology of writings from the women's liberation movement ,"Morgan, Robin. comp. "
mdp.39015081709548,Mother Earth ,"Goldman, Emma 1869-1940 ed. "
mdp.39015081787973,"What I believe Reprinted from the New York world of July 19, 1908 ","Goldman, Emma 1869-1940 "
mdp.39015016185939,"Against our will men, women, and rape ","Brownmiller, Susan. "
mdp.39015081823406,I've come to stay a love comedy of Bohemia ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015018614993,The land of little rain ,"Austin, Mary Hunter 1868-1934 "
mdp.39076005019869,"The yellow wallpaper, and other fiction ","Gilman, Charlotte Perkins 1860-1935 "
mdp.39015018627623,No food with my meals ,"Hurst, Fannie 1889-1968 "
mdp.39015019047623,Bernice a play in three acts ,"Glaspell, Susan 1876-1948 "
mdp.39015019168965,Young women in the new social order ,"Austin, Mary Hunter 1868-1934 The young woman citizen. "
mdp.49015000066317,"Robert M. La Follette, June 14, 1855--June 18, 1925 ","La Follette, Fola. "
mdp.39015019797854,The American rhythm ,"Austin, Mary Hunter 1868-1934 "
mdp.49015001291039,"Yellow wallpaper, and other fiction ","Gilman, Charlotte Perkins 1860-1935 "
mdp.39015021854941,Worlds beyond my control a novel ,"Lazarre, Jane. "
miun.age2118.0001.001,"Gifted children, their nature and nurture ","Hollingworth, Leta Stetter 1886-1939 "
mdp.39015024079637,The basket woman a book of fanciful tales for children ,"Austin, Mary Hunter 1868-1934 "
msu.31293010576316,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
msu.31293018513733,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
mdp.39015024850334,Mother Earth ,"Goldman, Emma 1869-1940 ed. "
msu.31293027443922,Human work ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015025344691,Anatomy of me a wonderer in search of herself ,"Hurst, Fannie 1889-1968 "
mdp.39015066195788,The Provincetown plays Second series ,"Glaspell, Susan 1876-1948 "
mdp.39015026430879,Vocational psychology its problems and methods ,"Hollingworth, Leta Stetter 1886-1939 "
msu.31293029772823,Plays ,"Glaspell, Susan 1876-1948 "
mdp.39015026709678,Everyman's genius ,"Austin, Mary Hunter 1868-1934 "
njp.32101069164265,Our androcentric culture ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015069766783,Living my life ,"Goldman, Emma 1869-1940 "
mdp.39015073492129,The plot to gag America ,"Flynn, Elizabeth Gurley. "
mdp.39015079009695,Syndicalism the modern menace to capitalism ,"Goldman, Emma 1869-1940 "
