htid,title,org
coo.31924054285469,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054221696,Annual report ,Women's Trade Union League of New York 
coo.31924054285279,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285279,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285311,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285352,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285485,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285352,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285493,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285311,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285493,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285568,General Executive Board Report - Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924054285584,Convention proceedings ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285600,General Executive Board Report - Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924054285329,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285667,General Executive Board Report - Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924054285352,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054331503,Proceedings of the...annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
coo.31924054285378,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285394,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285378,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285410,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285394,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924055359743,"The girl reserve movement, a manual for advisers ",Young Women's Christian Association of the U.S.A 
coo.31924054285485,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924055836112,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924055836112,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285485,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924058762521,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924054285493,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285410,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285469,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285501,Proceedings ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285493,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054331495,Proceedings of the...annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
coo.31924055836112,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924064528130,Employer support for child care ,National Council of Jewish Women 
coo.31924065896312,Proceedings of the...annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
coo.31924060559691,Bargaining for family benefits a union members guide ,Coalition of Labor Union Women (U.S.) 
coo.31924065896387,Proceedings of the...annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
coo.31924054285576,Financial statements of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924069101321,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
coo.31924065912317,Financial statements of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924054285642,General Executive Board Report - Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924071673721,Choosing family child care a handbook for parents ,National Council of Jewish Women 
coo.31924054285675,General Executive Board Report - Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924071673739,Caring for older adults a handbook ,National Council of Jewish Women 
coo.31924065912333,Financial statements of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924073144713,Local government in Tompkins County ,"League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
coo.31924067244057,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924054285683,General Executive Board Report - Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924074262415,The womanly art of breastfeeding ,La Leche League International 
coo.31924078648783,CLUW news ,Coalition of Labor Union Women (U.S.) 
coo.31924054285717,General Executive Board Report - Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo.31924070949833,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924081935748,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924082748330,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo.31924054560564,Racial inequalities in metropolitan Chicago job training programs ,Chicago Urban League 
coo.31924082758602,Financial statement for ,Industrial Workers of the World 
coo.31924082758610,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924055050581,The program explained ,League of Women Voters (U.S.) 
coo.31924082835798,CLUW news ,Coalition of Labor Union Women (U.S.) 
coo.31924055836112,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924064510583,The industrial work of the Y.W.C.A Report of a study made for the Laboratory Division of the National Board of the Young Women's Christian Associations ,Young Women's Christian Association of the U.S.A National Board. Laboratory Division. 
coo.31924112253954,CLUW news ,Coalition of Labor Union Women (U.S.) 
coo.31924112303148,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo1.ark:/13960/t3fx7v02x,Women at the world's crossroads ,Young Women's Christian Association of the U.S.A National Convention (7th) 
coo.31924065912341,Financial statements of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America 
coo1.ark:/13960/t5fb5n99s,Epistles of Paul ,Young Women's Christian Association of the U.S.A National Board. 
coo.31924073231122,The womanly art of breastfeeding ,La Leche League International 
coo.31924069101313,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
coo.31924078678848,"Work/family project operation eldercare : executive summary, final report ",National Council of Jewish Women 
coo.31924069101339,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
coo.31924082748322,Financial statement for ,Industrial Workers of the World 
coo.31924070949742,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924082748330,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924082748314,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo1.ark:/13960/t5fb5n99s,"Selected epistles of Paul brief introductions, outlines and notes ",Young Women's Christian Association of the U.S.A National Board. 
coo1.ark:/13960/t5h99q616,"The clothing workers of Chicago, 1910-1922 ",Amalgamated Clothing Workers of America Research Dept. 
coo.31924082748322,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
hvd.32044004319224,The history of trade unionism among women in Boston ,Women's Trade Union League of Massachusetts 
hvd.32044019240043,The road to destruction made easy in Chicago ,Juvenile Protective Association of Chicago 
coo.31924082748330,Financial statement for ,Industrial Workers of the World 
hvd.32044031795297,Illinois manual of laws affecting women and children ,Juvenile protective association of Chicago 
coo.31924082748348,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
hvd.32044032105124,The road to destruction made easy in Chicago ,Juvenile Protective Association of Chicago 
coo.31924082748355,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo.31924082758586,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924082758594,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo.31924082758586,Financial statement for ,Industrial Workers of the World 
hvd.32044053329314,"Labor agreement, The Hart, Schaffner & Marx ",Amalgamated Clothing Workers of America 
coo.31924082758602,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924082758610,Financial statement for ,Industrial Workers of the World 
coo.31924082758594,Financial statement for ,Industrial Workers of the World 
coo.31924094691197,The Womanly art of breastfeeding ,La Leche League International 
coo.31924112293851,Empowerment a handbook for union women ,Coalition of Labor Union Women (U.S.) Center for Education and Research. 
hvd.32044053411641,The Saturday half-holiday ,Juvenile Protective Association of Chicago 
coo1.ark:/13960/t2g73zw7v,The American girl in the stockyards district ,University of Chicago Settlement. Board. 
coo.31924082758610,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo1.ark:/13960/t9p27g27w,The handbook of the Young Womens Christian Association movement ,Young Women's Christian Association of the U.S.A National Board. 
hvd.32044014315352,Wages and family budgets in the Chicago stockyard district with wage statistics from other industries employing unskilled labor ,University of Chicago Settlement. Board. 
coo.31924086758194,So eat a little ,"National Council of Jewish Women (Asheville, N.C.) "
hvd.32044032099665,The Hart Schaffner & Marx labor agreement [with the Amalgamated clothing workers of America] ,Amalgamated Clothing Workers of America 
hvd.32044053329389,Legal recognition of industrial women by Eleanor L. Lattimore... and Ray S. Trent ,Young Women's Christian Association of the U.S.A War Work Council. Industrial Committee. 
coo.31924112303148,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
hvd.32044053411963,The one hundred and one county jails of Illinois and why they ought to be abolished ,Juvenile Protective Association of Chicago 
coo1.ark:/13960/t5h99q616,"The clothing workers of Chicago, 1910-1922 ",Amalgamated Clothing Workers of America Chicago Joint Board. 
hvd.hnmej7,"The Hart, Schaffner & Marx labor agreement industrial law in the clothing industry ",Amalgamated Clothing Workers of America 
hvd.32044053624938,"A study of bastardy cases, taken from the Court of Domestic Relations in Chicago ",Juvenile Protective Association of Chicago 
hvd.32044053625091,Some legislative needs in Illinois ,Juvenile Protective Association of Chicago 
coo1.ark:/13960/t9p27fj3t,"Report Social morality committee, War work council, National board, Young womens Christian associations, June, 1917, to July, 1919 ",Young Women's Christian Association of the U.S.A National Board. War Work Council. Social Morality Committee. 
hvd.32044053636494,Baby farms in Chicago an investigation made for the Juvenile Protective Association ,Juvenile Protective Association of Chicago 
coo1.ark:/13960/t9x06p260,Council cook book ,National Council of Jewish Women San Francisco Section. 
hvd.li2qu7,Minutes of the ... constitutional general convention of the Industrial Workers of the World ,Industrial Workers of the World 
hvd.hn4m57,"The clothing workers of Chicago, 1910-1922 ",Amalgamated Clothing Workers of America Chicago Joint Board. 
hvd.32044004319224,The history of trade unionism among women in Boston ,Women's Trade Union League of Massachusetts Special Committee appointed by the Executive Board. 
iau.31858016261533,"Study financing and organization of the tax-supported system of education in Iowa. Preliminary materials, higher education section ",League of Women Voters of Iowa 
hvd.32044031676505,"The Hart, Schaffner & Marx labor agreement industrial law in the clothing industry ",Amalgamated Clothing Workers of America 
hvd.32044031795297,Manual of juvenile laws ,Juvenile protective association of Chicago 
hvd.32044053329314,"The Hart, Schaffner & Marx labor agreement being a compilation and codification of the agreements of 1911, 1913 and 1916 and decisions rendered by the Board of Arbitration ",Amalgamated Clothing Workers of America 
hvd.32044086749587,Case is altered ,University of Chicago Settlement league. 
hvd.hn4m57,"The clothing workers of Chicago, 1910-1922 ",Amalgamated Clothing Workers of America Research Dept. 
hvd.32044087363735,Legal recognition of industrial women by Eleanor L. Lattimore... and Ray S. Trent ,Young Women's Christian Association of the U.S.A War Work Council. Industrial Committee. 
hvd.32044087373692,The history of trade unionism among women in Boston ,Women's Trade Union League of Massachusetts 
hvd.32044088948419,"Illinois manual of laws affecting women and children, issued by the Juvenile protective association of Chicago ",Juvenile Protective Association of Chicago 
iau.31858032585899,Proceedings of the ... Biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
iau.31858046026864,Report ,Young Women's Christian Association of the U.S.A Commission on Household Employment. 
hvd.li2qu7,Proceedings of the ... annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
ien.35556000170035,New Jersey spotlight on government ,League of Women Voters of New Jersey 
hvd.li5hzl,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
hvd.hwitu7,"Proceedings of the first convention of the National Council of Jewish Women held at New York, Nov. 15, 16, 17, 18 and 19, 1896 ",National Council of Jewish Women 
ien.35556002860948,One big union monthly ,Industrial Workers of the World 
hvd.rsm3nt,Council cook book ,National Council of Jewish Women San Francisco Section. 
hvd.li5hzm,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
ien.35556002933950,Bulletin ,"Hull House (Chicago, Ill.) "
iau.31858009952296,Higher education study materials of the League of Women Voters of Iowa ,League of Women Voters of Iowa 
iau.31858009952296,Financing and organization of the tax-supported system of education in Iowa ,League of Women Voters of Iowa 
iau.31858016261533,Higher education study materials of the League of Women Voters of Iowa ,League of Women Voters of Iowa 
ien.35556003093200,Making land use decisions in New York State ,League of Women Voters of New York State 
ien.35556003683604,"The key to our local government Chicago, Cook County metropolitan area ",League of Women Voters of Chicago 
iau.31858045167404,War work bulletin ,Young Women's Christian Association of the U.S.A War Work Council. 
ien.35556018017061,"The key to our local government Chicago, Cook County, metropolitan area ",League of Women Voters of Chicago 
ien.35556019059138,Automobile gas prices in Chicago's Black community ,Chicago Urban League Research and Planning Department. 
iau.31858009952296,"Study financing and organization of the tax-supported system of education in Iowa. Preliminary materials, higher education section ",League of Women Voters of Iowa 
iau.31858045582420,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
iau.31858046058511,The One big union monthly ,Industrial Workers of the World 
iau.31858016261533,Financing and organization of the tax-supported system of education in Iowa ,League of Women Voters of Iowa 
iau.31858049003779,You are democracy a handbook for Iowa citizens ,"League of Women Voters of Iowa City, Iowa "
iau.31858044352585,Directory of Young Women's Christian Association in cities and towns of the United States of America ,Young Women's Christian Association of the U.S.A National Board. 
ien.35556019112028,"Race, neighborhood, and other determinants ",Chicago Urban League 
ien.35556015849193,The black poor and the antidiscrimination movement ,Chicago Urban League 
ien.35556019587633,Who supports minority and poor interests? a roll call voting analysis of the 1989 Illinois General Assembly ,Chicago Urban League Research and Planning Dept. 
ien.35556019112028,"Grocery food prices race, neighborhood, and other determinants ",Chicago Urban League 
ien.35556019970474,Race distinction in real estate advertising ,Chicago Urban League 
ien.35556021688932,"""Recovery,"" an update on employment and unemployment in Chicago ",Chicago Urban League 
ien.35556001610187,Report of the annual convention ,Young Women's Christian Associations of Illinois 
ien.35556021807136,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556003706785,Illinois voters' handbook ,League of Women Voters of Champaign County 
ien.35556021885181,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556019791995,Atlas of Chicago politics ,Chicago Urban League Research and Planning Dept. 
ien.35556023128499,"Primary health care needs, black hospitals, and health planning in Chicago ",Chicago Urban League Research and Planning Dept. 
ien.35556003706793,Illinois voters' handbook ,League of Women Voters of Champaign County 
ien.35556025844762,Disinvestment and neglect ,Chicago Urban League Research and Planning Dept. 
ien.35556026153767,Campaign finance reform beyond Chicago and Illinois ,Chicago Urban League 
ien.35556020525689,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556015669674,Basic facts about blacks and whites in Chicago ,Chicago Urban League Research and Planning Dept. 
ien.35556026356584,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556026700013,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556029075827,Annual report ,Chicago Urban League 
ien.35556018017061,"The key to our local government Chicago, Cook County, metropolitan area ","League of Women Voters of Cook County (Cook County, Ill.) "
inu.30000001668437,The Hoosier National Forest issues for the 80s ,League of Women Voters of Indiana 
ien.35556019475250,Chicago's public housing crisis causes and solutions ,Chicago Urban League Research and Planning Dept. 
ien.35556019791995,"C.U.L./N.I.U. atlas, Chicago politics, 1990 ",Chicago Urban League Research and Planning Dept. 
ien.35556019791995,CUL/NIU atlas of Chicago politics ,Chicago Urban League Research and Planning Dept. 
ien.35556021702998,"Civil rights in the eighties a thirty-year perspective : conference papers, June 15, 1984 ",Chicago Urban League 
ien.35556019791995,"CUL/NIU atlas, Chicago politics, 1990 ",Chicago Urban League Research and Planning Dept. 
inu.30000004501122,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
inu.30000025464250,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
ien.35556020224838,Recent changes in economic status among central city and suburban blacks ,Chicago Urban League 
inu.30000026239891,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
ien.35556020224838,Recent changes in economic status among central city and suburban blacks ,Chicago Urban League Research and Planning Dept. 
ien.35556020525689,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021878988,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
inu.30000036819005,"A guide Bloomington, Monroe Co. Indiana ",League of Women Voters of Bloomington-Monroe County 
ien.35556021972583,"One man, one vote ",League of Women Voters of Cleveland 
ien.35556021688932,Recession and recovery impact on black and white workers ,Chicago Urban League 
inu.30000038630988,"Here is your local government Monroe County, Indiana ",League of Women Voters of Bloomington-Monroe County 
ien.35556022999098,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021702907,The Black housing market in Chicago a reassessment of the filtering model ,Chicago Urban League Research and Planning Department. 
inu.30000050063118,"City, town, county, township & school officials <1968-> ",League of Women Voters (U.S.) Education Fund. 
ien.35556023301955,Roster of key elected and appointed officials ,Chicago Urban League 
ien.35556021702998,Civil rights in the 80s ,Chicago Urban League 
ien.35556026153700,"Race, ethnicity, and working poverty a statistical analysis for metropolitan Chicago ",Chicago Urban League 
ien.35556026411637,Illinois voters' handbook ,League of Women Voters of Champaign County 
inu.30000050063118,Directory of Monroe County governmental officials 1975 ,League of Women Voters of Bloomington-Monroe County 
ien.35556026675447,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021807136,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
inu.30000050063118,Governmental officials list 1973 ,"League of Women Voters of Bloomington, Indiana "
ien.35556031552870,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021885181,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
inu.30000050063118,Officialist now <1970>-1972 ,League of Women Voters (U.S.) Education Fund. 
ien.35556022183552,Equal opportunity in city contracts an examination in Chicago's contract compliance program ,Chicago Urban League 
ien.35556025844762,Disinvestment & neglect changes in the southside housing market ,Chicago Urban League Research and Planning Dept. 
ien.35556026153767,Outside mentors history and lessons of campaign finance reform beyond Chicago and Illinois ,Chicago Urban League 
inu.30000005366319,Annual Convention of the Indiana League of Women Voters [proceedings] ,League of Women Voters of Indiana Convention 
ien.35556026356584,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556026675447,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
inu.30000025520564,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
ien.35556031552870,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
inu.30000046915397,Building minority businesses ,Chicago Urban League 
inu.30000046915405,Building minority businesses ,Chicago Urban League 
inu.30000050063118,"City, town, county, township & school officials <1968-> ",League of Women Voters of Bloomington-Monroe County 
ien.35556035954965,CORE; equal opportunity employment journal ,Congress of Racial Equality 
inu.30000050063118,Directory of Monroe County governmental officials 1975 ,League of Women Voters (U.S.) Education Fund. 
inu.30000001904139,"Here is your local government the City of Bloomington and Monroe County, Indiana : handbook ",League of Women Voters of Bloomington-Monroe County 
inu.30000050063159,"City, town, county, township & school officials <1968-> ","League of Women Voters of Bloomington, Indiana "
inu.30000001904139,"The City of Bloomington and Monroe County, Indiana ",League of Women Voters of Bloomington-Monroe County 
inu.30000050063118,"Elected and appointed city, county, and township officials and commissions as of ",League of Women Voters (U.S.) Education Fund. 
coo.31924003755877,Directory of Arizona labor organizations ,Coalition of Labor Union Women (U.S.) Pima County Chapter. 
inu.30000050063118,"Elected and appointed city, county, and township officials and commissions as of ",League of Women Voters of Bloomington-Monroe County 
inu.30000004390302,"The State we're in Washington, a citizen's guide to Washington State government ",League of Women Voters of Washington 
inu.30000050063159,Directory of local government officials ,League of Women Voters (U.S.) Education Fund. 
inu.30000050063118,"Elected and appointed city, town, county, township, and school officials and commissions as of ... 1966- ",League of Women Voters (U.S.) Education Fund. 
inu.30000028684193,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063118,"Elected and appointed city, town, county, township, and school officials and commissions as of ... 1966- ",League of Women Voters of Bloomington-Monroe County 
inu.30000036818999,Lake Monroe and watershed area ,League of Women Voters of Bloomington-Monroe County Local Government Committee. 
inu.30000050063159,"Elected and appointed city, county, and township officials and commissions as of ",League of Women Voters of Bloomington-Monroe County 
inu.30000050063159,"Elected and appointed city, town, county, township, and school officials and commissions as of ... 1966- ",League of Women Voters (U.S.) Education Fund. 
inu.30000050063118,Governmental officials directory 1976 ,"League of Women Voters of Bloomington, Indiana "
inu.30000036831125,"Unigov handbook a book of factual information about Indianapolis, Indiana ",League of Women Voters of Indianapolis 
inu.30000046158881,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063159,Governmental officials 1974 ,League of Women Voters (U.S.) Education Fund. 
inu.30000047757525,"Report of the general secretary treasurer, I.W.W. second annual convention, held at Chicago, Illinois, Sept. 1906 ",Industrial Workers of the World 
inu.30000050063159,Governmental officials directory 1976 ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063159,Governmental officials list 1973 ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063159,Directory of Monroe County governmental officials 1975 ,League of Women Voters (U.S.) Education Fund. 
inu.30000050063118,"City, town, county, township & school officials <1968-> ","League of Women Voters of Bloomington, Indiana "
inu.30000050063183,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063159,Directory of Monroe County governmental officials 1975 ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063118,Directory of local government officials ,League of Women Voters (U.S.) Education Fund. 
inu.30000050063191,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
inu.30000053528760,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063159,Governmental officials 1974 ,"League of Women Voters of Bloomington, Indiana "
inu.30000050063159,Governmental officials directory 1976 ,"League of Women Voters of Bloomington, Indiana "
inu.30000050063118,Directory of local government officials ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063118,"Elected and appointed city, county, and township officials and commissions as of ","League of Women Voters of Bloomington, Indiana "
