htid,title,person
mdp.35112104055191,A summary of juvenile-court legislation in the United States ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.hj2akq,Industrial poisons used or produced in the manufacture of explosives ,"Hamilton, Alice 1869-1970 "
mdp.39015001654097,"Exploring the dangerous trades the autobiography of Alice Hamilton, M. D ","Hamilton, Alice 1869-1970 "
hvd.hj2ayy,"Women in the lead industries. February, 1919 ","Hamilton, Alice 1869-1970 "
mdp.39015001766131,To ride the storm the 1980 Bristol 'Riot' and the state ,"Booth, Heather 1950- "
mdp.39015004746346,The elements of John Updike ,"Hamilton, Alice. "
hvd.hn1xly,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
mdp.39015004860493,Women in industry; a study in American economic history ,"Abbott, Edith 1876-1957 "
mdp.39015006680030,Industrial toxicology ,"Hamilton, Alice 1869-1970 "
hvd.ah6dew,Democracy and social ethics ,"Addams, Jane 1860-1935 "
hvd.hn2u1l,One of the Duanes A novel ,"Hamilton, Alice King. "
mdp.39015007032280,"Feminism and suffrage the emergence of an independent women's movement in America, 1848-1869 ","DuBois, Ellen Carol 1947- "
mdp.39015008618384,"The child in the city a series of papers presented at the conferences held during the Chicago child welfare exhibit, pub ","Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015010441460,Looking for history in British churches ,"Anderson, Mary DÃƒÂ©sirÃƒÂ©e 1901- "
mdp.39015011514299,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.hj2awv,Industrial poisoning in making coal-tar dyes and dye intermediates ,"Hamilton, Alice 1869-1970 "
hvd.hwrbg2,The modern household ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015012194273,Public assistance American principles and policies ,"Abbott, Edith 1876-1957 "
hvd.hn39pj,A thought a day selected from the sermons of Francis B. Perkins ,"Perkins, Frances L. "
hvd.hn5gs6,New songs for little people ,"Anderson, Mary Eleanor 1840-1916 "
mdp.39015012196807,Public assistance American principles and policies ,"Abbott, Edith 1876-1957 "
hvd.hnhspb,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
mdp.39015012326503,A few memories ,"Anderson, Mary 1859-1940 "
mdp.39015013426286,Words on fire the life and writing of Elizabeth Gurley Flynn ,"Flynn, Elizabeth Gurley. "
hvd.li2hzd,The immigrant and coal mining communities of Illinois ,"Abbott, Grace 1878-1939 "
hvd.rslz9v,Women in public life ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015016219936,Guidelines for observation and assessment an approach to evaluating the learning environment of a day care center ,"Perkins, Frances J. joint author. "
iau.31858042350698,The subjective value of a social settlement ,"Addams, Jane 1860-1935 "
ien.35556023375405,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
ien.35556038846606,Addams's essays and speeches on peace ,"Addams, Jane 1860-1935 "
inu.30000042386536,"UNIFEM's experience in mainstreaming with women, 1985-1990 ","Anderson, Mary B. 1939- "
mdp.39015017913222,Fertility and mortality in Vanuatu the demographic analysis of the 1979 census ,"Booth, Heather 1950- "
loc.ark:/13960/t12n60m6g,Poems and biography of Mary Eleanor Anderson ,"Anderson, Mary Eleanor (Roberts) Mrs 1840-1916 "
loc.ark:/13960/t14m9xt96,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Abbott, Edith 1876-1957. [from old catalog] "
hvd.hnpjl8,Tales of the rock ,"Anderson, Mary active 1893-1898 "
loc.ark:/13960/t1fj33z7x,The modern household ,"Breckinridge, Sophonisba Preston, [from old catalog] joint author. "
mdp.39015029721373,Dissertations & theses @ University of Michigan ,"Anderson, Mary Katherine. "
hvd.hw20re,"The child in the city a series of papers presented at the conferences held during the Chicago child welfare exhibit, pub ","Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015033639777,Suggested readings for a course in children's literature ,"Brown, Corinne. "
hvd.hw3q8h,Newer ideals of peace ,"Addams, Jane 1860-1935 "
loc.ark:/13960/t3xs66719,The modern household ,"Breckinridge, Sophonisba Preston 1866-1948 joint author. "
mdp.39015041364806,"On lynchings Southern horrors, A red record, Mob rule in New Orleans ","Wells-Barnett, Ida B. 1862-1931 "
hvd.rsl13g,The long road of woman's memory ,"Addams, Jane 1860-1935 "
mdp.35112104519170,Two views of American labor ,"Perkins, Frances 1880-1965 "
mdp.39015047542744,Caring for the elderly client ,"Anderson, Mary Ann 1946- "
mdp.39015047700342,Improvisation for the theater a handbook of teaching and directing techniques ,"Spolin, Viola. "
hvd.rsliiq,Newer ideals of peace ,"Addams, Jane 1860-1935 "
mdp.39015048063013,Hamilton and Hardy's industrial toxicology ,"Hamilton, Alice 1869-1970 "
mdp.39015001515025,The Roosevelt I knew ,"Perkins, Frances 1880-1965 "
hvd.rslz9v,Women in public life ,"Addams, Jane 1860-1935 "
ien.35556002316057,Woman and the larger citizenship ,"Addams, Jane 1860-1935 "
mdp.39015002517616,Democracy and social ethics ,"Addams, Jane 1860-1935 "
ien.35556003847464,"On lynchings Southern horrors, A red record, Mob rule in New Orleans ","Wells-Barnett, Ida B. 1862-1931 "
mdp.39015002620857,The long road of woman's memory ,"Addams, Jane 1860-1935 "
mdp.39015050477275,Computer-based technology and learning evolving uses and expectations ,"Anderson, Mary. "
ien.35556003847464,Southern horrors ,"Wells-Barnett, Ida B. 1862-1931 "
mdp.39015003982561,"Jane Addams on peace, war, and international understanding, 1899-1932 ","Addams, Jane 1860-1935 "
mdp.39015051414251,Alt-PressWatch ,"Detzer, Dorothy 1893-1981 "
mdp.39015004780980,The Roosevelt I knew ,"Perkins, Frances 1880-1965 "
mdp.39015056447439,Mob rule in New Orleans ,"Wells-Barnett, Ida B. 1862-1931 "
mdp.39015005115111,"Twenty years at Hull-house, with autobiographical notes ","Addams, Jane 1860-1935 "
loc.ark:/13960/t14m9xt96,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Breckinridge, Sophonisba Preston 1866-1948, [from old catalog] joint author. "
mdp.39015059148604,The Marshall Islands a statistical profile on men and women ,"Booth, Heather 1950- "
mdp.39015006679255,Industrial poisons in the United States ,"Hamilton, Alice 1869-1970 "
loc.ark:/13960/t5cc1g58n,"The child, and other verses ","Anderson, Mary Louisa. "
mdp.39015059789282,Creative drama in the lower school ,"Brown, Corinne. "
mdp.39015006679743,Lead poisoning ,"Hamilton, Alice 1869-1970 "
mdp.39015001021214,The politics of clean air ,"Anderson, Mary 1922- "
mdp.39015002065657,Industrial poisoning in making coal-tar dyes and dye intermediates ,"Hamilton, Alice 1869-1970 "
mdp.39015003456129,Portrait of Haldane at work on education ,"Anderson, Mary historian joint author. "
mdp.39015007097762,Industrial toxicology ,"Hamilton, Alice 1869-1970 "
mdp.39015008198445,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
mdp.39015060012583,Women at the Hague the International Congress of Women and its results ,"Addams, Jane 1860-1935 "
mdp.39015060808345,The social thought of Jane Addams ,"Addams, Jane 1860-1935 "
mdp.39015008431044,Women at the Hague the International Congress of Women and its results ,"Hamilton, Alice 1869-1970 "
mdp.39015010521006,Immigration : select documents and case records ,"Abbott, Edith 1876-1957 "
mdp.39015063045820,Work accidents to minors in Illinois ,"Abbott, Grace 1878-1939 "
mdp.39015003620955,Religion in social action ,"Addams, Jane 1860-1935 "
mdp.39015011514299,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Abbott, Edith 1876-1957 "
mdp.39015011547810,Family welfare work in the metropolitan community selected case records ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015004112028,Women in industry a study in American economic history ,"Abbott, Edith 1876-1957 "
mdp.39015014309606,"Catch me, I'm falling in love ","Anderson, Mary 1929- "
mdp.39015063740768,"Twenty years at Hull-house, with autobiographical notes ","Addams, Jane 1860-1935 "
mdp.39015019139263,The excellent becomes the permanent ,"Addams, Jane 1860-1935 "
mdp.39015064514154,A study of legal tender in England ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015023138301,Report to the President of the Committee on economic security ,"Perkins, Frances 1880-1965 "
mdp.39015065399381,"Exploring the dangerous trades the autobiography of Alice Hamilton, M. D ","Hamilton, Alice 1869-1970 "
mdp.39015065623053,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
mdp.39015024881248,Appointment on the Hill ,"Detzer, Dorothy 1893-1981 "
mdp.39015006680014,Industrial toxicology ,"Hamilton, Alice 1869-1970 "
mdp.39015025118111,Second generation migrants in Western Europe demographic data sources and needs ,"Booth, Heather 1950- "
mdp.39015066816433,Women images and realities : a multicultural anthology ,"Kesselman, Amy Vita 1944- "
mdp.39015025295679,Applied groundwater modeling simulation of flow and advective transport ,"Anderson, Mary P. "
mdp.39015068647703,Horizons of the future for a socialist America ,"Flynn, Elizabeth Gurley. "
mdp.39015028060922,"Funeral services for Mary Hawes Wilmarth at Hubbard Woods, Illinois, August 30, 1919 ","Addams, Jane 1860-1935 "
mdp.39015068648263,Freedom begins at home ,"Flynn, Elizabeth Gurley. "
mdp.39015006946332,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
mdp.39015031986980,The rise of the student estate in Britain ,"Anderson, Mary historian joint author. "
mdp.39015073492111,"Elizabeth Gurley Flynn speaks to the court opening statement to the court and jury in the case of the sixteen Smith Act victims in the trial at Foley Square, New York ","Flynn, Elizabeth Gurley. "
mdp.39015034934664,Maternal nutrition and pregnancy outcomes anthropometric assessment ,"Anderson, Mary Ann 1946- "
mdp.39015076119661,Writings on peace ,"Addams, Jane 1860-1935 "
mdp.39015038691385,"Exploring the dangerous trades the autobiography of Alice Hamilton, M. D ","Hamilton, Alice 1869-1970 "
mdp.39015078981910,"A plea for more play, more pay and more education for our factory girls and boys ","Addams, Jane 1860-1935 "
mdp.39015041364806,Southern horrors ,"Wells-Barnett, Ida B. 1862-1931 "
mdp.49015002222173,"The child and the state select documents, with introductory notes ","Abbott, Grace 1878-1939 "
mdp.39015041833255,Teaching information literacy using electronic resources for grades 6-12 ,"Anderson, Mary Alice 1947- "
mdp.49015002376987,Improvisation for the theater a handbook of teaching and directing techniques ,"Spolin, Viola "
mdp.39015047580637,Paul Sills' Story Theater four shows ,"Spolin, Viola. "
nnc2.ark:/13960/t0bv87591,"Women in the lead industries. February, 1919 ","Hamilton, Alice 1869-1970 "
mdp.39015047580637,Story Theater ,"Spolin, Viola. "
mdp.39015008431044,Women at the Hague the International Congress of Women and its results ,"Addams, Jane 1860-1935 "
mdp.39015047580637,Theater games for Story Theater ,"Spolin, Viola. "
nnc2.ark:/13960/t60589j3j,Lead poisoning in the manufacture of storage batteries ,"Hamilton, Alice 1869-1970 "
nnc2.ark:/13960/t7jq1qx22,Lead poisoning in the smelting and refining of lead ,"Hamilton, Alice 1869-1970 "
nyp.33433075925218,Twenty years at Hull-House ,"Addams, Jane 1860-1935 "
nyp.33433075968804,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
mdp.39015051414251,Fellowship ,"Detzer, Dorothy 1893-1981 "
nyp.33433075968812,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
mdp.39015008490511,Democracy and social ethics ,"Addams, Jane 1860-1935 "
nyp.33433082339825,Madeline McDowell Breckinridge a leader in the new South ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015008530225,Women at the Hague the International Congress of Women and its results ,"Addams, Jane 1860-1935 "
mdp.39015054127942,The long road of woman's memory ,"Addams, Jane 1860-1935 "
osu.32435005345004,Hospital and bedside games ,"Boyd, Neva Leona. "
mdp.39015055092970,The Family and social service in the 1920's two documents ,"Abbott, Edith 1876-1957 "
osu.32435059517300,"Debs and Dennis, fighters for peace ","Flynn, Elizabeth Gurley. "
mdp.39015008530225,Women at the Hague the International Congress of Women and its results ,"Hamilton, Alice 1869-1970 "
mdp.39015055909710,The Jane Addams reader ,"Addams, Jane 1860-1935 "
mdp.39015056447439,On lynchings ,"Wells-Barnett, Ida B. 1862-1931 "
mdp.39015008786579,"Historical aspects of the immigration problem, select documents ","Abbott, Edith 1876-1957 "
osu.32437000294229,Report to the President of the Committee on economic security ,"Perkins, Frances 1880-1965 "
mdp.39015056447439,Southern horrors ,"Wells-Barnett, Ida B. 1862-1931 "
mdp.39015009220529,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
mdp.39015010143306,Twenty years at Hull-house with autobiographical notes ,"Addams, Jane 1860-1935 "
mdp.39015062814895,Metaphysical media the occult experience in popular culture ,"Edwards, Emily D. "
mdp.39015064761342,Counseling adults in transition linking practice with theory ,"Anderson, Mary L. "
pst.000002670294,Old English and American games for school and playground ,"Boyd, Neva Leona joint author. "
mdp.39015010864869,The Social application of religion ,"Addams, Jane 1860-1935 "
mdp.39015065729777,Industrial toxicology ,"Hamilton, Alice 1869-1970 "
pst.000007652455,The delinquent child and the home ,"Abbott, Edith 1876-1957 "
pst.000046345554,"Autobiography of Alice Hamilton, M.D ","Hamilton, Alice 1869-1970 "
mdp.39015013317774,Industrial toxicology ,"Hamilton, Alice 1869-1970 "
txu.059173026917490,"""I think of my mother"" notes on the life and times of Claudia Jones ","Jones, Claudia 1915-1964 "
mdp.39015014211919,Report of the City council committee on crime of the city of Chicago ,"Abbott, Edith. "
mdp.39015068648255,Meet the communists ,"Flynn, Elizabeth Gurley. "
uc1.$b243387,The modern household ,"Breckinridge, Sophonisba Preston 1866-1948 joint author. "
mdp.39015068648669,Communists and the people summation speech to the jury in the Second Foley Square Smith Act trial of thirteen communist leaders ,"Flynn, Elizabeth Gurley. "
mdp.39015068648685,13 communists speak to the court ,"Flynn, Elizabeth Gurley. "
mdp.39015072117164,Jane Addams a centennial reader ,"Addams, Jane 1860-1935 "
mdp.39015078710095,Industrial poisons in the United States ,"Hamilton, Alice 1869-1970 "
uc1.$b267784,The Social application of religion ,"Addams, Jane 1860-1935 "
uc1.$b350394,Social group work a definition with a methodological note ,"Boyd, Neva Leona. "
uc1.$b357929,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b357930,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015014227063,Women's place in industry in 10 southern states ,"Anderson, Mary 1872-1964 "
uc1.$b357931,The Social service review ,"Abbott, Edith 1876-1957 "
mdp.39015015357794,Do you call that a dream date? ,"Anderson, Mary 1929- "
uc1.$b357931,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.32044018936757,The long road of woman's memory ,"Addams, Jane 1860-1935 "
mdp.39015016149471,The social thought of Jane Addams ,"Addams, Jane 1860-1935 "
uc1.$b357934,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.32044028269942,Democracy and social ethics ,"Addams, Jane 1860-1935 "
uc1.$b357935,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
hvd.32044030074728,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Abbott, Edith 1876-1957 "
uc1.$b357935,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015016154513,Play and game theory in group work a collection of papers ,"Boyd, Neva Leona. "
uc1.$b357937,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015079261239,The Grace Abbott reader ,"Abbott, Grace 1878-1939 "
mdp.39015016178306,Twenty years at Hull-house with autobiographical notes ,"Addams, Jane 1860-1935 "
mdp.39015080829875,Through women's eyes an American history with documents ,"DuBois, Ellen Carol 1947- "
uc1.$b357938,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
hvd.32044053411963,The one hundred and one county jails of Illinois and why they ought to be abolished ,"Abbott, Edith 1876-1957 "
uc1.$b357938,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.32044082379496,Scenes in the Hawaiian Islands and California ,"Anderson, Mary E. (Mary Evarts) 1838-1905 "
uc1.$b357939,The Social service review ,"Abbott, Edith 1876-1957 "
mdp.39015082238794,Othello's occupation a novel ,"Anderson, Mary novelist "
uc1.$b357940,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.$b357941,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
mdp.49015001256743,"The child and the state select documents, with introductory notes ","Abbott, Grace 1878-1939 "
nnc2.ark:/13960/t1vd7km2p,Industrial poisoning in making coal-tar dyes and dye intermediates ,"Hamilton, Alice 1869-1970 "
mdp.39015017979918,Hidden power the palace eunuchs of imperial China ,"Anderson, Mary M. "
uc1.$b357942,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
nnc2.ark:/13960/t53f5hb3m,Hygiene of the painters' trade ,"Hamilton, Alice 1869-1970 "
mdp.39015018014053,Public welfare administration in the United States select documents ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015022888989,Patterns of suicide factors affecting age-sex distributions of suicide in Western Samoa and Fiji Indians ,"Booth, Heather 1950- "
mdp.39015023842837,Applied groundwater modeling simulation of flow and advective transport ,"Anderson, Mary P. "
mdp.39015025237119,The migration process in Britain and West Germany two demographic studies of migrant populations ,"Booth, Heather 1950- "
nyp.33433069238396,Democracy and social ethics ,"Addams, Jane 1860-1935 "
uc1.$b357942,The Social service review ,"Abbott, Edith 1876-1957 "
mdp.39015025257398,Whatever happened to the hippies? ,"Anderson, Mary Siler. "
nyp.33433075925218,The second twenty years at Hull-House ,"Addams, Jane 1860-1935 "
mdp.39015026996192,The excellent becomes the permanent ,"Addams, Jane 1860-1935 "
mdp.39015028476425,"The Elizabeth Cady Stanton-Susan B. Anthony reader correspondence, writings, speeches ","DuBois, Ellen Carol 1947- "
mdp.39015035311342,People at work ,"Perkins, Frances 1880-1965 "
mdp.39015041364806,A Red record ,"Wells-Barnett, Ida B. 1862-1931 "
nyp.33433081931762,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
uc1.$b357943,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
mdp.39015041364806,Mob rule in New Orleans ,"Wells-Barnett, Ida B. 1862-1931 "
nyp.33433082279526,Old English and American games for school and playgound ,"Boyd, Neva Leona. "
uc1.$b357943,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015046393172,"Universities: British, Indian, African a study in the ecology of higher education ","Anderson, Mary historian "
nyp.33433082294541,Captain Dreams and other stories ,"Hamilton, Alice King. "
hvd.ah6dez,Twenty years at Hull-house with autobiographical notes ,"Addams, Jane 1860-1935 "
uc1.$b357944,The Social service review ,"Abbott, Edith 1876-1957 "
mdp.39015048842630,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
uc1.31822004870523,Japan's energy policies an Australian perspective ,"Perkins, Frances 1952- "
hvd.fl1jyn,"Church book of St. Mary the Virgin, Tenby ","Edwards, Emily Hewlett joint author "
mdp.39015051414251,Fellowship the journal of the Fellowship of Reconciliation ,"Detzer, Dorothy 1893-1981 "
hvd.hj2ajk,Lead poisoning in the smelting and refining of lead ,"Hamilton, Alice 1869-1970 "
uc1.31822018868653,Productivity performance and priorities for the reform of China's state-owned enterprises ,"Perkins, Frances 1952- "
mdp.39015052303552,The delinquent child and the home ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015055119112,"Women in the twentieth century a study of their political, social and economic activities ","Breckinridge, Sophonisba Preston 1866-1948 "
uc1.31822019038975,Impact of economic and trade reforms on productivity growth ,"Perkins, Frances 1952- "
mdp.39015056447439,Red record ,"Wells-Barnett, Ida B. 1862-1931 "
mdp.39015056758645,Industrial poisons in the United States ,"Hamilton, Alice 1869-1970 "
mdp.39015056960290,"The child, the clinic and the court a group of papers ","Addams, Jane 1860-1935 "
mdp.39015057603683,Women images and realities : a multicultural anthology ,"Kesselman, Amy Vita 1944- "
osu.32435056494610,Woman's place in the fight for a better world ,"Flynn, Elizabeth Gurley. "
mdp.39015059387798,"Captain Dreams, and other stories ","Hamilton, Alice King. "
