,ny org,count,pull for Ben (focused),pull for Ben (broad)
163,"League of Women Voters of Terre Haute, Indiana ",2,,
5,League of Women Voters of Texas,1,,
2,"League of Women Voters of Tompkins County (Tompkins County, N.Y.) ",6,,
107,"League of Women Voters of Upper Darby, Pa ",1,,
244,League of Women Voters of Virginia,1,,
123,League of Women Voters of Washington,3,,
65,League of Women Voters of Wauwatosa,1,,
122,League of Women Voters of Wayne,1,,
72,League of Women Voters of Wayne School Study Committee.,1,,
245,"League of Women Voters of Wilkes-Barre, Pennsylvania ",2,,
162,League of Women Voters of Wisconsin,2,,
218,League of Women Voters of Ypsilanti,1,,
176,League of Women Voters of the Allentown Area,1,,
20,League of Women Voters of the Ann Arbor Area,4,,
221,League of Women Voters of the Bay Area,4,,
192,League of Women Voters of the Benton Harbor-St. Joseph Area,1,,
41,League of Women Voters of the City of New York,4,1,1
99,League of Women Voters of the Copper Country,1,,
4,League of Women Voters of the Detroit Metropolitan Area,1,,
19,League of Women Voters of the Lansing Area,1,,
134,League of Women Voters of the Midland Area,1,,
223,League of Women Voters of the Mt. Pleasant Area (Mich.),1,,
155,League of Women Voters of the Niles-Buchanan Area,1,,
110,League of Women Voters of the Rochester Area,1,,
269,League of Women Voters of the Rochester Metropolitan Area,1,,
240,"League of Women Voters of the South Bend Area (South Bend, Ind.) ",1,,
86,League of Women Voters of the State College Area,1,,
3,League of Women Voters of the Wilkes-Barre Area,1,,
51,League of women voters of Ann Arbor,1,,
228,Lily Pleasure Club/Neighborhood Club,0,,
147,Lucy Stone League,0,,
166,Men's League for Woman Suffrage,0,,
137,Men's League for Woman Suffrage of the State of New York,3,1,1
27,National Black Feminist Organization,0,,
36,National Consumers' League,0,,
140,National Consumers' League,45,1,1
195,National Consumers' League New Orleans Chapter.,4,,
234,National Organization for Women New York,0,,
104,National Woman's Party,0,,
174,National Woman's Party,5,1,1
142,Neighborhood Guild/University Settlement,0,,
253,New York City Federation of Women's Clubs,0,,
18,New York City Federation of Women's Clubs,9,1,1
85,New York City Woman Suffrage Party,0,,
270,New York Federation of Women's Clubs,0,,
73,New York Radical Feminists,0,,
262,New York Radical Feminists,1,1,1
94,New York Radical Women,0,,
9,New York Social Hygiene Society,0,,
141,New York Social Hygiene Society,19,1,1
8,New York State Woman Suffrage Association,0,,
119,New York State Woman Suffrage Association,1,1,1
77,New York Women's Republican Association,0,,
256,Political Equality League,0,,
71,Progressive Party,0,,
69,Progressive Party (1912) National Committee.,2,,1
247,Progressive Party (U.S. : 1912) New York (State) Convention (1912),1,,1
87,Progressive Party (Uganda),1,,
197,Progressive Party Dept. of Popular Government.,1,,
10,"Progressive Party National Convention: (1st : 1912 : Chicago, Ill.) ",1,,1
179,Progressive Party Rhode Island.,1,,
44,Progressive Party of Massachusetts Legislative Bureau.,2,,
148,Progressive Party of South Africa,8,,
186,Progressive party,1,,1
49,Provincetown Players,0,,
255,Provincetown Players,1,1,1
227,Radicalesbians,0,,
50,Redstockings,0,,
161,Socialist Party,0,,
68,Sorosis,0,,
246,"Sorosis (New York, N.Y.) ",3,1,1
83,Sorosis Club,1,1,1
249,Sorosis Shoe Company,1,,
124,Southern Christian Leadership Conference,0,,
150,Southern Christian Leadership Conference,496,,1
279,Southern Christian Leadership Conference West.,84,,1
173,Southern Conference Educational Fund,0,,
38,Southern Conference Educational Fund New Orleans.,1,,
89,Student Nonviolent Coordinating Committee,0,,
117,Student Nonviolent Coordinating Committee (U.S.),7,,1
209,Students for a Democratic Society,0,,
198,Students for a Democratic Society (U.S.),13,,1
154,Teachers' Union of the City of New York,0,,
128,Teachers' Union of the City of New York,7,1,1
58,Teachers' union of the city of New York,1,1,1
106,The Beats,0,,
233,The Feminist Alliance,0,,
115,The Feminists,0,,
79,The Masses,0,,
35,The Village Liberal Club,0,,
248,Third World Women's Alliance,0,,
232,United Parents Association,0,,
264,Universal Negro Improvement Association,0,,
200,Universal Negro Improvement Association,6,,1
21,Universal Negro Improvement Association. [from old catalog],1,,1
230,WITCH,0,,
236,"Witchel, Alex. ",2,,
151,"Witchel, Harry J. ",1,,
23,"Witchel, Jess ",1,,
252,"Witchell, Charles A d. 1907 ",4,,
80,"Witchell, Charles A. d. 1907 ",1,,
214,"Witchell, Nicholas. ",3,,
275,"Witchell, Rowland G. ",1,,
61,"Witchen, Elsie. ",4,,
75,"Witcher, Ann E. ",1,,
235,"Witcher, Elizabeth Snyder 1949- ",1,,
139,"Witcher, Esther G. ",1,,
52,"Witcher, James C. ",6,,
196,"Witcher, Mary Jeanette Smith 1903-1984 ",2,,
177,"Witcher, Russ. ",1,,
37,"Witchey, Holly Rarick. ",5,,
55,Witchita Art Museum,1,,
13,"Witchzak, M. ",1,,
7,Woman's Peace Party,0,,
170,Woman's Peace Party,22,,1
187,Woman's Republican Club,0,,
159,Women Strike for Peace,19,,1
145,Women Strike for Peace New York City,0,,
257,Women's City Club of New York,0,,
215,Women's City Club of New York,5,1,1
211,Women's Conference on the High Cost of Living,0,,
182,Women's Democratic Club of New York,0,,
60,Women's Municipal League of New York City,0,,
204,Women's Trade Union League,0,,
180,Women's Trade Union League of Chicago,2,1,1
97,Women's Trade Union League of Massachusetts,4,,
76,Women's Trade Union League of Massachusetts Special Committee appointed by the Executive Board.,2,,
277,Women's Trade Union League of New York,5,1,1
34,Yippies,0,,
0,,0,,
